"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","SYMBOL","Regulation"
"ENSG00000138346",12.7413220138786,0.460459835214812,0.126055572716935,3.6528320429657,0.000259363887550351,0.00208615158991141,"ENSG00000138346","DNA2","Not significant"
"ENSG00000100297",289.734788682416,0.441916298763112,0.0961955427610898,4.59393737047309,4.34959971108813e-06,5.90673283259149e-05,"ENSG00000100297","MCM5","Not significant"
"ENSG00000115233",105.041505733732,0.430602796894124,0.114001918417286,3.77715395383059,0.000158630683129688,0.00136054489202031,"ENSG00000115233","PSMD14","Not significant"
"ENSG00000197903",180.008745316441,0.426794081140399,0.0965471291956763,4.42057764633681,9.84374062369974e-06,0.000122899262337364,"ENSG00000197903","H2BC12","Not significant"
"ENSG00000097046",20.5148466753385,0.413861217814798,0.132107888064715,3.13275175220471,0.00173175843349127,0.0104931578116381,"ENSG00000097046","CDC7","Not significant"
"ENSG00000233822",17.1953487826855,0.398744045125532,0.148414921207506,2.68668434333519,0.0072165114830537,0.0339742730102299,"ENSG00000233822","H2BC15","Not significant"
"ENSG00000106399",93.3946867007059,0.371250680132891,0.0950854425012223,3.90439030799187,9.44632245700848e-05,0.000873349111292795,"ENSG00000106399","RPA3","Not significant"
"ENSG00000126067",311.864513988825,0.365772300901866,0.0734030694606094,4.98306547109929,6.25847626172593e-07,1.03845114395724e-05,"ENSG00000126067","PSMB2","Not significant"
"ENSG00000135336",68.0584290183091,0.36410503832751,0.0890786691900904,4.08745484904499,4.36131521256541e-05,0.000449450910646073,"ENSG00000135336","ORC3","Not significant"
"ENSG00000100567",303.641246122072,0.35067593485075,0.0656890749906142,5.33842096118503,9.37595638417308e-08,1.90600070754934e-06,"ENSG00000100567","PSMA3","Not significant"
"ENSG00000143106",334.641489308072,0.329804424761116,0.0816718967412803,4.03816291674808,5.38714351325595e-05,0.000539090886568659,"ENSG00000143106","PSMA5","Not significant"
"ENSG00000100902",740.246115128327,0.325114872661053,0.0738949488577982,4.39969006929955,1.0840559237109e-05,0.000133880572611591,"ENSG00000100902","PSMA6","Not significant"
"ENSG00000165916",307.775150049361,0.273678989128392,0.0857369395022419,3.1920778921813,0.0014125323520596,0.00883670364066248,"ENSG00000165916","PSMC3","Not significant"
"ENSG00000099341",480.669938552178,0.26450531925692,0.0747023101876495,3.54079169161559,0.000398928401679169,0.00300267400798245,"ENSG00000099341","PSMD8","Not significant"
"ENSG00000108344",107.636398752983,0.259502481639622,0.0951664564473925,2.7268271965456,0.00639465181284015,0.0308779573443912,"ENSG00000108344","PSMD3","Not significant"
"ENSG00000041357",644.766304764759,0.243860129132648,0.0621950565128544,3.92089247611259,8.82216235787718e-05,0.000822854454636065,"ENSG00000041357","PSMA4","Not significant"
"ENSG00000013275",190.229970107968,0.221449623575716,0.0687490009599032,3.22113224168701,0.00127685216538229,0.008109386819684,"ENSG00000013275","PSMC4","Not significant"
"ENSG00000197170",172.816947252676,0.214874166147157,0.0756012597967701,2.84220351254434,0.00448028817566331,0.023151043102087,"ENSG00000197170","PSMD12","Not significant"
"ENSG00000175166",525.814540602763,0.204618841232848,0.0683424647074673,2.99402197606858,0.00275326112814251,0.0154410649279486,"ENSG00000175166","PSMD2","Not significant"
"ENSG00000115947",146.431454964671,0.198773675052588,0.0778064145435606,2.55472092138756,0.0106272966446274,0.046176790363085,"ENSG00000115947","ORC4","Not significant"
"ENSG00000106588",548.994487235546,0.190386076811008,0.0716883078802646,2.65574795166033,0.00791327351002466,0.03651327215353,"ENSG00000106588","PSMA2","Not significant"
"ENSG00000108671",386.074283422517,0.177648000722072,0.0627778118230219,2.82978962731104,0.004657862011455,0.0238594904568372,"ENSG00000108671","PSMD11","Not significant"
"ENSG00000150991",3014.1390460362,0.169885923952916,0.0613701844333353,2.76821595896388,0.00563640930300147,0.0279160336222786,"ENSG00000150991","UBC","Not significant"
"ENSG00000136930",349.558335334626,0.163570798474467,0.0656673673410792,2.49089928677775,0.0127420232912989,0.0530317929507464,"ENSG00000136930","PSMB7","Not significant"
"ENSG00000130706",411.005819805886,0.147015219033504,0.0574011169818364,2.56119090992644,0.0104314016647863,0.0454240745098797,"ENSG00000130706","ADRM1","Not significant"
"ENSG00000100764",582.022923770012,0.131254058902136,0.0508495875727935,2.58122170045608,0.00984513343590691,0.0433609876047722,"ENSG00000100764","PSMC1","Not significant"
