"Gene","logFC","t","PValue","FDR"
"ENSG00000130303",-1.55839561790885,-15.0805014265962,6.38121141351816e-29,1.84937324012085e-26
"ENSG00000117228",-2.45384797199659,-15.0039465000002,9.40108357678409e-29,2.68329715787059e-26
"ENSG00000154305",-1.28276453921623,-14.9370859983516,1.31941031109848e-28,3.70970917021986e-26
"ENSG00000010030",-2.82638203525698,-14.8816216334501,1.74846969396283e-28,4.84377530806937e-26
"ENSG00000121067",-1.19378848246388,-14.8778643360429,1.7821611955973e-28,4.86555834821188e-26
"ENSG00000123609",-2.01830785557339,-14.8559716955302,1.99185370795764e-28,5.36036287864371e-26
"ENSG00000123610",-2.79822287009702,-14.8298495626016,2.27473924158394e-28,6.03542786379694e-26
"ENSG00000142961",-1.46867298957052,-14.8081708125556,2.53992305265435e-28,6.64542645359758e-26
"ENSG00000173821",-1.43565419571256,-14.7474103159723,3.46069483884491e-28,8.93048895536444e-26
"ENSG00000106392",-1.63465998132154,-14.7347992017157,3.69036279525774e-28,9.39446680230613e-26
"ENSG00000181381",-1.92477422444643,-14.7286440046447,3.80795673757627e-28,9.56457186966157e-26
"ENSG00000173198",-2.25490244862835,-14.7063787849076,4.26565310021896e-28,1.05732069870954e-25
"ENSG00000255760",-2.39699463401343,-14.6017371361248,7.27732764428347e-28,1.78039348263652e-25
"ENSG00000173801",-2.46246965895852,-14.5885422562819,7.78505107302597e-28,1.88018964248286e-25
"ENSG00000259268",-2.66033459199404,-14.5737434622879,8.39694159743164e-28,2.00229855458756e-25
"ENSG00000163840",-1.95600134576042,-14.5710397709789,8.51384239264037e-28,2.00479703740699e-25
"ENSG00000198818",-1.64691891788212,-14.5289501800263,1.05595279443061e-27,2.45580725203503e-25
"ENSG00000108424",-1.35054659146721,-14.4433799077839,1.63692934762665e-27,3.76054573787692e-25
"ENSG00000145016",-1.61366267506823,-14.4167602946193,1.87640139930546e-27,4.25875295905015e-25
"ENSG00000115267",-2.54985586594503,-14.4094858852334,1.9477598161515e-27,4.31669404901904e-25
"ENSG00000105483",-1.27734927328101,-14.4097446564795,1.94517525644359e-27,4.31669404901904e-25
"ENSG00000168394",-1.82681536332833,-14.3628508158309,2.47463521902757e-27,5.4206021227955e-25
"ENSG00000151702",-1.2121787178945,-14.3353710202987,2.84987743700322e-27,6.17080358140995e-25
"ENSG00000196141",-2.82822499613827,-14.3212604841247,3.06424999603311e-27,6.5595842528718e-25
"ENSG00000143891",-2.32192289867245,-14.2918027847223,3.56541538831944e-27,7.54666236911928e-25
"ENSG00000185909",-2.25679017247072,-14.2669486088444,4.05178362938088e-27,8.48083333447523e-25
"ENSG00000134326",-3.09983382490659,-14.2510293150684,4.39776866680711e-27,9.10386441157278e-25
"ENSG00000135211",-2.31067550661772,-14.2176476294804,5.22265780502633e-27,1.06939595359876e-24
"ENSG00000106733",-1.38316636664067,-14.1874628951106,6.10160669209553e-27,1.23593620285694e-24
"ENSG00000128383",-1.79587401141378,-14.1578033751591,7.1098679810644e-27,1.42484779816267e-24
"ENSG00000120690",-1.61142297327092,-14.1062084924724,9.27883692326369e-27,1.83994452589938e-24
"ENSG00000233975",-2.5090198929053,-14.00366918737,1.57634812735093e-26,3.06136556938524e-24
"ENSG00000059378",-1.65725945029213,-13.9958358104211,1.64154947344318e-26,3.15546010007373e-24
"ENSG00000137752",-1.93051524906844,-13.9746000435087,1.83225103128711e-26,3.48645908357441e-24
"ENSG00000265972",-1.36212017203268,-13.9572140296747,2.00483080866298e-26,3.77670027735933e-24
"ENSG00000155363",-2.00340807188197,-13.9069078049944,2.60175567576613e-26,4.85266073466162e-24
"ENSG00000221963",-1.59027993281856,-13.8820391969911,2.95979344753586e-26,5.46633225143927e-24
"ENSG00000068079",-1.99475822130183,-13.8790685296054,3.00574433607834e-26,5.49730211680036e-24
"ENSG00000182179",-1.11645766736081,-13.8550352169074,3.40482388385451e-26,6.1673146465434e-24
"ENSG00000156587",-2.02544315604392,-13.8530514681681,3.44005023772386e-26,6.17177775030877e-24
"ENSG00000135828",-2.25936258229622,-13.8493580150128,3.50661410813233e-26,6.23184873292422e-24
"ENSG00000206337",-1.54511389254173,-13.7828910261399,4.95189263854135e-26,8.55814252521486e-24
"ENSG00000233030",-2.53071872060025,-13.7720341479076,5.2392778738334e-26,8.97250150793397e-24
"ENSG00000118260",-1.24170740511086,-13.751791097693,5.82058118731621e-26,9.87820796456421e-24
"ENSG00000136816",-2.12661194741077,-13.6802033087504,8.44697595750499e-26,1.40817816891574e-23
"ENSG00000121236",-2.71995146798969,-13.6622366482196,9.27526322568245e-26,1.53269656706497e-23
