"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000163958",-1.29511790388852,-5.74982510484851,7.60066489979911e-08,1.72507620942669e-05,"ZDHHC19","zDHHC palmitoyltransferase 19"
"ENSG00000152778",-1.06331745775214,-5.74718607690023,7.69313882793385e-08,1.72527796715021e-05,"IFIT5","interferon induced protein with tetratricopeptide repeats 5"
"ENSG00000108984",-0.728581263515574,-5.74231550989529,7.86671522433478e-08,1.74344919289434e-05,"MAP2K6","mitogen-activated protein kinase kinase 6"
"ENSG00000137757",-1.11881559203601,-5.72067744191303,8.68544600335054e-08,1.90251664896648e-05,"CASP5","caspase 5"
"ENSG00000196116",-0.759998282436591,-5.71205641482889,9.0344347156335e-08,1.93398501333073e-05,"TDRD7","tudor domain containing 7"
"ENSG00000067066",-0.537124160033249,-5.71363130387072,8.96967080745022e-08,1.93398501333073e-05,"SP100","SP100 nuclear antigen"
"ENSG00000228278",0.887250623580571,5.69270580999435,9.8686099540241e-08,2.06560971459895e-05,"ORM2","orosomucoid 2"
"ENSG00000198216",-0.673844998979637,-5.69465582399166,9.78123771902022e-08,2.06560971459895e-05,"CACNA1E","calcium voltage-gated channel subunit alpha1 E"
"ENSG00000117228",-0.870911239408447,-5.68470358406683,1.02352414703385e-07,2.11880745954106e-05,"GBP1","guanylate binding protein 1"
"ENSG00000164047",0.92183826608095,5.66463372127439,1.12145300074448e-07,2.29629691608962e-05,"CAMP","cathelicidin antimicrobial peptide"
"ENSG00000279296",-1.277938123699,-5.62416921987892,1.34763476144948e-07,2.72975738023498e-05,NA,NA
"ENSG00000086065",-0.750861902988915,-5.61958601105554,1.37591414151168e-07,2.75739048912734e-05,"CHMP5","charged multivesicular body protein 5"
"ENSG00000124508",-0.741127722044913,-5.61449807151167,1.40798911312487e-07,2.79196830663645e-05,"BTN2A2","butyrophilin subfamily 2 member A2"
"ENSG00000286162",-0.81525042297793,-5.57387992935045,1.69171788119287e-07,3.31964390061577e-05,"INCR1","interferon stimulated noncoding RNA 1"
"ENSG00000214872",-0.848671253015546,-5.55176428333703,1.86901438134807e-07,3.62974153771494e-05,"SMTNL1","smoothelin like 1"
"ENSG00000164054",-0.632843353764922,-5.54851183403835,1.89657843349047e-07,3.64568821735648e-05,"SHISA5","shisa family member 5"
"ENSG00000182541",-0.598775989089239,-5.53421756463157,2.02251385390823e-07,3.8484965636286e-05,"LIMK2","LIM domain kinase 2"
"ENSG00000183779",1.04491150116269,5.53034042392846,2.05806070855983e-07,3.87697476278501e-05,"ZNF703","zinc finger protein 703"
"ENSG00000150681",-0.895057543309485,-5.52522795972233,2.10586974948264e-07,3.92775983571821e-05,"RGS18","regulator of G protein signaling 18"
"ENSG00000185909",-0.736655553095869,-5.51836945234493,2.17171799351196e-07,4.0108650550763e-05,"KLHDC8B","kelch domain containing 8B"
"ENSG00000186470",-0.432873773692873,-5.51091094016365,2.24561512696187e-07,4.10707745259299e-05,"BTN3A2","butyrophilin subfamily 3 member A2"
"ENSG00000163565",-0.680680825816107,-5.49758950894587,2.38377205446561e-07,4.31783634250222e-05,"IFI16","interferon gamma inducible protein 16"
"ENSG00000250303",-0.679665164938662,-5.4555737944509,2.87626990365866e-07,5.16030213763064e-05,"LINC02762","long intergenic non-protein coding RNA 2762"
"ENSG00000107796",-0.718265190806589,-5.43672654672961,3.12831354174655e-07,5.55954438673787e-05,"ACTA2","actin alpha 2, smooth muscle"
"ENSG00000265531",-0.945698675439831,-5.42344908691246,3.31871404440487e-07,5.84279767929896e-05,"FCGR1CP","Fc gamma receptor Ic, pseudogene"
"ENSG00000196954",-0.679463718515153,-5.40909192255992,3.5373530944885e-07,6.17006088833096e-05,"CASP4","caspase 4"
"ENSG00000129667",-0.437268997268127,-5.40664411651666,3.57600933621613e-07,6.18026274088436e-05,"RHBDF2","rhomboid 5 homolog 2"
"ENSG00000163145",-0.701540347712262,-5.39843249148485,3.70872996532985e-07,6.35136864426215e-05,"C1QTNF7","C1q and TNF related 7"
"ENSG00000237513",-0.784368539298652,-5.39594708546589,3.74984135505035e-07,6.3639199501296e-05,NA,NA
"ENSG00000171860",-0.910951700272405,-5.3870991678835,3.89984384894776e-07,6.55939807379267e-05,"C3AR1","complement C3a receptor 1"
"ENSG00000113368",-0.604540651896147,-5.38460898475244,3.94310831765707e-07,6.5734756184092e-05,"LMNB1","lamin B1"
"ENSG00000145365",-0.800134779151957,-5.36654380330031,4.27133125397823e-07,7.05818755810893e-05,"TIFA","TRAF interacting protein with forkhead associated domain"
"ENSG00000148926",-0.724363436095223,-5.3643843247882,4.31230992820025e-07,7.06393864586403e-05,"ADM","adrenomedullin"
"ENSG00000128294",-0.402527818156957,-5.36197458370858,4.35849129453909e-07,7.07803956952823e-05,"TPST2","tyrosylprotein sulfotransferase 2"
"ENSG00000163840",-0.640810548249541,-5.32519168503574,5.1264016538429e-07,8.25394481667458e-05,"DTX3L","deltex E3 ubiquitin ligase 3L"
"ENSG00000115155",-1.35748933930429,-5.30879054583059,5.51001381558017e-07,8.79641019134739e-05,"OTOF","otoferlin"
"ENSG00000259268",-0.839495337095316,-5.30464417325416,5.61135121531431e-07,8.88291043647824e-05,NA,NA
"ENSG00000130595",-0.844248941343894,-5.29457176041614,5.86516269565148e-07,9.01632712756422e-05,"TNNT3","troponin T3, fast skeletal type"
"ENSG00000270562",-0.767477754786126,-5.29515600369458,5.85013910403141e-07,9.01632712756422e-05,NA,NA
"ENSG00000070269",-0.57325107608756,-5.2986200348085,5.76183181105797e-07,9.01632712756422e-05,"TMEM260","transmembrane protein 260"
"ENSG00000057657",-0.406469396602988,-5.29372202583243,5.88708056423399e-07,9.01632712756422e-05,"PRDM1","PR/SET domain 1"
"ENSG00000212743",-0.667688890388921,-5.28916591733623,6.00597095369032e-07,9.12423232464663e-05,NA,NA
"ENSG00000129538",-1.1572316439743,-5.27754227559838,6.32000801450009e-07,9.44891356961529e-05,"RNASE1","ribonuclease A family member 1, pancreatic"
"ENSG00000187554",-0.765652343061511,-5.27819676841835,6.30190733941441e-07,9.44891356961529e-05,"TLR5","toll like receptor 5"
"ENSG00000277511",-0.934119800090952,-5.2640304657471,6.70523668046567e-07,9.83275315400764e-05,NA,NA
"ENSG00000163568",-0.852100171358672,-5.26130988332749,6.78552877174325e-07,9.83275315400764e-05,"AIM2","absent in melanoma 2"
"ENSG00000148346",0.83171838558335,5.2642403787479,6.69908024022386e-07,9.83275315400764e-05,"LCN2","lipocalin 2"
"ENSG00000111801",-0.618130728670354,-5.26177281923266,6.77180026785773e-07,9.83275315400764e-05,"BTN3A3","butyrophilin subfamily 3 member A3"
"ENSG00000148344",0.835670111926075,5.25404688436313,7.00450564121941e-07,0.000100725860510909,"PTGES","prostaglandin E synthase"
"ENSG00000186814",-0.429726196400944,-5.25043464697879,7.11596673177647e-07,0.000101553470676671,"ZSCAN30","zinc finger and SCAN domain containing 30"
"ENSG00000136689",-0.735824007694274,-5.24144861069035,7.40080805288107e-07,0.000104824377518928,"IL1RN","interleukin 1 receptor antagonist"
"ENSG00000204569",-0.531052766621949,-5.21440605643646,8.32679576416534e-07,0.00011705983478011,"PPP1R10","protein phosphatase 1 regulatory subunit 10"
"ENSG00000121481",-0.66487952501895,-5.18271610278388,9.55627946213716e-07,0.000133349031487215,"RNF2","ring finger protein 2"
"ENSG00000162946",-0.636260638251414,-5.17883501905321,9.71851695751377e-07,0.000134615751798268,"DISC1","DISC1 scaffold protein"
"ENSG00000010030",-0.948365942398445,-5.16543242298291,1.02996922537795e-06,0.000141624527501239,"ETV7","ETS variant transcription factor 7"
"ENSG00000232618",-0.587082627737468,-5.16275117261446,1.0419961181882e-06,0.000142240020829198,NA,NA
"ENSG00000158089",-0.804174565787181,-5.15953111968134,1.05662089140877e-06,0.000142343814170007,"GALNT14","polypeptide N-acetylgalactosaminyltransferase 14"
"ENSG00000125449",-0.517146961978577,-5.1559800175861,1.0729812937754e-06,0.000142343814170007,"ARMC7","armadillo repeat containing 7"
"ENSG00000092036",-0.472831377067181,-5.15838648794334,1.06186761831075e-06,0.000142343814170007,"HAUS4","HAUS augmin like complex subunit 4"
"ENSG00000175806",0.461430786820476,5.15616510835292,1.0721224883677e-06,0.000142343814170007,"MSRA","methionine sulfoxide reductase A"
"ENSG00000111837",-0.83597909604941,-5.15212553679343,1.09101893688741e-06,0.00014272649120198,"MAK","male germ cell associated kinase"
"ENSG00000123609",-0.627816677398065,-5.15332548712183,1.08537212413931e-06,0.00014272649120198,"NMI","N-myc and STAT interactor"
"ENSG00000217275",-0.989366114784633,-5.14275882200799,1.13609282184125e-06,0.000145589908692826,"RPS10P1","ribosomal protein S10 pseudogene 1"
"ENSG00000135828",-0.768688621997781,-5.14447229097276,1.12771390457766e-06,0.000145589908692826,"RNASEL","ribonuclease L"
"ENSG00000073331",-0.517922215004017,-5.14416100484678,1.12923161251501e-06,0.000145589908692826,"ALPK1","alpha kinase 1"
"ENSG00000108100",0.369690469451344,5.13770953411521,1.16113845465885e-06,0.000147794096005834,"CCNY","cyclin Y"
"ENSG00000119922",-0.964077543026086,-5.13442192959656,1.17773416327087e-06,0.000148900376964407,"IFIT2","interferon induced protein with tetratricopeptide repeats 2"
"ENSG00000005379",-0.404455159226175,-5.13068959296814,1.19685515484792e-06,0.000150309049380167,"TSPOAP1","TSPO associated protein 1"
"ENSG00000012223",0.834018643537512,5.12395745880147,1.23211219478711e-06,0.000153712116062249,"LTF","lactotransferrin"
"ENSG00000183688",0.464952407666334,5.11756330980019,1.26653527431126e-06,0.000156967049325497,"RFLNB","refilin B"
"ENSG00000135148",-0.678797164981872,-5.11585757908428,1.27587535237823e-06,0.000157091110379746,"TRAFD1","TRAF-type zinc finger domain containing 1"
"ENSG00000113749",-0.5299105818973,-5.10957488927123,1.31085992641546e-06,0.000160350514894899,"HRH2","histamine receptor H2"
"ENSG00000280832",-0.7927781968286,-5.10146985263253,1.3573752637281e-06,0.000164969259471677,"GSEC","G-quadruplex forming sequence containing lncRNA"
"ENSG00000244482",-0.572104050308558,-5.09838054170513,1.37552505248359e-06,0.000166103467555679,"LILRA6","leukocyte immunoglobulin like receptor A6"
"ENSG00000274641",-0.874039600907996,-5.0912802299828,1.41814036748437e-06,0.000170158778615736,"H2BC17","H2B clustered histone 17"
"ENSG00000118260",-0.445524312037463,-5.08097309935633,1.4822995537284e-06,0.000176731386032504,"CREB1","cAMP responsive element binding protein 1"
"ENSG00000112053",-0.659595652950426,-5.0783989540978,1.49875902743455e-06,0.000177569953200076,"SLC26A8","solute carrier family 26 member 8"
"ENSG00000059378",-0.469124978812141,-5.07687597865011,1.50858083677856e-06,0.000177616536270216,"PARP12","poly(ADP-ribose) polymerase family member 12"
"ENSG00000063015",-0.630202371561993,-5.06823975004537,1.56547365824106e-06,0.000182932860688455,"SEZ6","seizure related 6 homolog"
"ENSG00000196663",-0.452142204507667,-5.06709699674108,1.57315656818822e-06,0.000182932860688455,"TECPR2","tectonin beta-propeller repeat containing 2"
"ENSG00000198899",0.387145013251415,5.05923037361934,1.62705053830812e-06,0.000188039129083733,"MT-ATP6","ATP synthase F0 subunit 6"
"ENSG00000251441",-0.745286389565071,-5.05417609197761,1.66262145323769e-06,0.000190978432537144,"RTEL1P1","regulator of telomere elongation helicase 1 pseudogene 1"
"ENSG00000151743",-0.951639248502102,-5.04933350066731,1.69741223192101e-06,0.000193793040151078,"AMN1","antagonist of mitotic exit network 1 homolog"
"ENSG00000138101",-0.462284710275351,-5.04743009276891,1.71128012556971e-06,0.000194199367502905,"DTNB","dystrobrevin beta"
"ENSG00000134470",-0.529983104630394,-5.04164078015438,1.75414146394201e-06,0.0001978713586691,"IL15RA","interleukin 15 receptor subunit alpha"
"ENSG00000123700",-0.89373011551764,-5.03902412916085,1.77385516045985e-06,0.00019890406852823,"KCNJ2","potassium inwardly rectifying channel subfamily J member 2"
"ENSG00000233030",-0.832703479819901,-5.02094191577898,1.91610350006524e-06,0.000213583181859344,"LOC124904411","uncharacterized LOC124904411"
"ENSG00000130518",-0.515846929456699,-5.01896618698428,1.93230294392429e-06,0.000214121899162622,"IQCN","IQ motif containing N"
"ENSG00000204136",0.630103857389282,5.01044463073026,2.00371354287494e-06,0.000219453230934175,"GGTA1","glycoprotein alpha-galactosyltransferase 1 (inactive)"
"ENSG00000245958",-0.566453034996963,-5.0115357835954,1.99442829893962e-06,0.000219453230934175,NA,NA
"ENSG00000158411",-0.619672454199486,-5.00760255353994,2.02809632673506e-06,0.000220839760711186,"MITD1","microtubule interacting and trafficking domain containing 1"
"ENSG00000182179",-0.353443548127191,-5.00491294832447,2.05143679202388e-06,0.000222097507403137,"UBA7","ubiquitin like modifier activating enzyme 7"
"ENSG00000130303",-0.410168726037629,-5.00349244431637,2.06386923080158e-06,0.000222166677541944,"BST2","bone marrow stromal cell antigen 2"
"ENSG00000196141",-0.844673215851919,-5.0017530469437,2.07919254354408e-06,0.0002225444837232,"SPATS2L","spermatogenesis associated serine rich 2 like"
"ENSG00000277224",-0.826446389349884,-4.9959227494685,2.13136654317843e-06,0.000226840016612402,"H2BC7","H2B clustered histone 7"
"ENSG00000026103",-0.632060163712272,-4.99291675991372,2.15876192426981e-06,0.000228464927693229,"FAS","Fas cell surface death receptor"
"ENSG00000122643",-0.621227619285962,-4.99034176443483,2.18250157812496e-06,0.000229686953791721,"NT5C3A","5'-nucleotidase, cytosolic IIIA"
"ENSG00000178927",-0.413958995229487,-4.98559015274665,2.22697661221459e-06,0.000233065474560547,"CYBC1","cytochrome b-245 chaperone 1"
"ENSG00000257743",-0.704327697163307,-4.98308073311432,2.25081926384946e-06,0.00023425929995799,"MGAM2","maltase-glucoamylase 2 (putative)"
"ENSG00000156587",-0.635440745359128,-4.96902790972687,2.38899805555151e-06,0.000247274425112523,"UBE2L6","ubiquitin conjugating enzyme E2 L6"
"ENSG00000204396",-0.884709694891014,-4.96502682095859,2.42982622096663e-06,0.000250126045631527,"VWA7","von Willebrand factor A domain containing 7"
"ENSG00000188177",-0.459130702903042,-4.96138998960171,2.46752559574975e-06,0.000252626343330075,"ZC3H6","zinc finger CCCH-type containing 6"
"ENSG00000121931",-0.505941603152704,-4.96008558428895,2.4811851639166e-06,0.000252651708745194,"LRIF1","ligand dependent nuclear receptor interacting factor 1"
"ENSG00000119979",-0.355925625461305,-4.95670618225584,2.5169167739263e-06,0.000254912248318406,"DENND10","DENN domain containing 10"
"ENSG00000239839",1.01780745142591,4.95131886653306,2.5749158183415e-06,0.000257258312993591,"DEFA3","defensin alpha 3"
"ENSG00000180316",-0.644100269372336,-4.95082002324125,2.58035156311584e-06,0.000257258312993591,"PNPLA1","patatin like domain 1, omega-hydroxyceramide transacylase"
