"Gene","logFC","t","PValue","FDR","SYMBOL","GENENAME"
"ENSG00000119714",-1.01278918401728,-7.40600581420975,2.42889180837289e-11,2.26400118189651e-10,"GPR68","G protein-coupled receptor 68"
"ENSG00000154813",-1.00044749959347,-7.40444109067399,2.44830144311812e-11,2.27983700373006e-10,"DPH3","diphthamide biosynthesis 3"
"ENSG00000276900",-1.01262347362379,-7.40392408570166,2.45474838084249e-11,2.28471096829599e-10,"AMN1-AS1","AMN1 antisense RNA 1"
"ENSG00000253982",1.12074437076704,7.40055422978369,2.49718413315676e-11,2.32076737545176e-10,"CLN8-AS1","CLN8 antisense RNA 1"
"ENSG00000196345",-1.17538624609892,-7.39689398554606,2.54410107621265e-11,2.36203923478038e-10,"ZKSCAN7","zinc finger with KRAB and SCAN domains 7"
"ENSG00000164691",-1.10816903324495,-7.39526178658806,2.56530334614956e-11,2.37820789541168e-10,"TAGAP","T cell activation RhoGTPase activating protein"
"ENSG00000183347",-1.56572491295614,-7.39491676556085,2.56980755241603e-11,2.38121173991211e-10,"GBP6","guanylate binding protein family member 6"
"ENSG00000119471",-1.06528797986628,-7.39101328925112,2.62131641123018e-11,2.42655324593386e-10,"HSDL2","hydroxysteroid dehydrogenase like 2"
"ENSG00000222011",-1.07448268262502,-7.39077020973058,2.62455764665884e-11,2.42836036089191e-10,"FAM185A","family with sequence similarity 185 member A"
"ENSG00000196455",-1.02843844794193,-7.38732304551037,2.67095235570638e-11,2.47007366110931e-10,"PIK3R4","phosphoinositide-3-kinase regulatory subunit 4"
"ENSG00000248196",-1.15652722159123,-7.38439681922052,2.71097332276765e-11,2.50339781638711e-10,"LOC100419572","uracil DNA glycosylase pseudogene"
"ENSG00000250771",-1.22740308594682,-7.38146535421415,2.75166202232914e-11,2.53972607430849e-10,NA,NA
"ENSG00000188641",-1.03588581164314,-7.37752646698509,2.80728856883149e-11,2.58726526710605e-10,"DPYD","dihydropyrimidine dehydrogenase"
"ENSG00000267387",-1.35116639498176,-7.37587283858377,2.83097273371709e-11,2.60781732800795e-10,NA,NA
