"Gene","logFC","t","PValue","FDR"
"ENSG00000198915",-0.948343565529543,-6.97643428610099,2.11416174910511e-10,1.66151769001427e-09
"ENSG00000276633",1.0997461308308,6.97612035331348,2.11747239466685e-10,1.66312354505351e-09
"ENSG00000124228",0.484047510957564,6.97607313439634,2.11797079551086e-10,1.66312354505351e-09
"ENSG00000269293",0.961600895631462,6.97530012365032,2.12614653318679e-10,1.66884784967386e-09
"ENSG00000276289",-1.42602788774999,-6.97489508371178,2.13044289310087e-10,1.67152366598227e-09
"ENSG00000212694",0.741408705379454,6.97392560575294,2.14076130848013e-10,1.67892013027264e-09
"ENSG00000151694",-1.09519727079453,-6.97294438641427,2.15125504143995e-10,1.68644787643137e-09
"ENSG00000099251",-1.20879410490791,-6.97246508519564,2.15639945638542e-10,1.68977757734562e-09
"ENSG00000188895",-0.693943583957461,-6.97120413658443,2.16999162463857e-10,1.69972150623457e-09
"ENSG00000121578",-1.0050881666517,-6.97002586646442,2.18276917707704e-10,1.70901935817861e-09
"ENSG00000134905",-0.681146151274339,-6.96853199396443,2.19907630266053e-10,1.72107184833897e-09
"ENSG00000154144",-0.574257102733766,-6.96553930547496,2.23210800744067e-10,1.74619811645214e-09
"ENSG00000130706",-0.635241206453832,-6.96447780188879,2.24394187871775e-10,1.75472715281382e-09
"ENSG00000177042",-0.834225472595396,-6.96432251606174,2.2456782355339e-10,1.75535629049741e-09
"ENSG00000172113",-0.735291406520529,-6.96320010861271,2.25826823254555e-10,1.7644652411735e-09
"ENSG00000285508",1.91120736419027,6.96286818606477,2.26200475599468e-10,1.76665197319352e-09
