"PC","Variance_Explained_Percent"
"PC101",0.115397221779839
"PC102",0.114912970140623
"PC103",0.113780187663589
"PC104",0.113578039704152
"PC105",0.112766616070769
"PC106",0.112215783304443
"PC107",0.111703393663876
"PC108",0.11095949368495
"PC109",0.110581710777458
"PC110",0.110173294107621
"PC111",0.109648515558735
"PC112",0.109124004540044
"PC113",0.108388585230332
"PC114",0.107226082056259
"PC115",0.106817518487593
"PC116",0.106660321408155
"PC117",0.106043770787332
"PC118",0.105703858842801
"PC119",0.105122325880057
"PC120",0.104712469510954
"PC121",0.103925270244533
"PC122",0.103289359324835
"PC123",0.103118336501063
"PC124",0.102217946744459
"PC125",0.10134642642671
"PC126",0.101037358568738
"PC127",0.100788305418787
"PC128",0.100457359472424
"PC129",0.0997982937314911
"PC130",0.0992853511194042
"PC131",0.0992417440679118
"PC132",0.0987640639701391
"PC133",0.0984192590387384
"PC134",0.0981120922752107
"PC135",0.0971819810282049
"PC136",0.0967806410706849
"PC137",0.0965082459533733
"PC138",0.0958330904501779
"PC139",0.0955236963436961
"PC140",0.0951675287174867
"PC141",0.0948264333826431
"PC142",0.0947407330948193
"PC143",0.0944484969670237
"PC144",0.0934488647408209
"PC145",0.0931511051762168
"PC146",0.0928641177734386
"PC147",0.0923431180347593
"PC148",0.0921265145354454
"PC149",0.0914815534335698
"PC150",0.0913392019279399
"PC151",0.0907638153365981
"PC152",0.0904385497832568
"PC153",0.0898385230430059
"PC154",0.0895883679330366
"PC155",0.0890532870288025
"PC156",0.0888955056963787
"PC157",0.0884449580979971
"PC158",0.0878529074279821
"PC159",0.0873168039887198
"PC160",0.0869960664847842
"PC161",0.0865966381175609
"PC162",0.086320001650609
"PC163",0.0859773882199065
"PC164",0.0858191923132528
"PC165",0.0851737883087201
"PC166",0.0848693893805576
"PC167",0.0847957440608381
"PC168",0.0844608259790586
"PC169",0.0842211487450023
"PC170",0.0837968488336023
"PC171",0.0830185012040112
"PC172",0.0826204944930635
"PC173",0.082509125033666
"PC174",0.0820311780414118
"PC175",0.0816152817569238
"PC176",0.0814382730944954
"PC177",0.0809558389877836
"PC178",0.0808509731203922
"PC179",0.0805946431587589
"PC180",0.0802162499943689
"PC181",0.0797966079965078
"PC182",0.079502587791162
"PC183",0.0790880162648223
