"Gene","logFC","t_statistic","P.Value","FDR","SYMBOL","GENENAME"
"ENSG00000128272",0.314314579500595,4.96255996611565,2.45533598481096e-06,1.32040020787522e-05,"ATF4","activating transcription factor 4"
"ENSG00000120333",-0.452998761349289,-4.96088050440317,2.47285213449551e-06,1.32944031134779e-05,"MRPS14","mitochondrial ribosomal protein S14"
"ENSG00000143858",-0.708563953370316,-4.95993742921496,2.48274126777723e-06,1.33399543646285e-05,"SYT2","synaptotagmin 2"
"ENSG00000211455",-0.624962655606915,-4.96000137498484,2.48206951554404e-06,1.33399543646285e-05,"STK38L","serine/threonine kinase 38 like"
"ENSG00000138594",-0.3296855376218,-4.95935070038644,2.48891313088854e-06,1.33693029825145e-05,"TMOD3","tropomodulin 3"
"ENSG00000040933",-0.261504914668418,-4.95907116922021,2.49185879407588e-06,1.33813101376287e-05,"INPP4A","inositol polyphosphate-4-phosphatase type I A"
"ENSG00000172733",0.99547546040613,4.95898700525255,2.49274636692393e-06,1.33822616301262e-05,"PURG","purine rich element binding protein G"
"ENSG00000141524",0.306934478936445,4.95870692644585,2.49570222470943e-06,1.33943129655488e-05,"TMC6","transmembrane channel like 6"
"ENSG00000238025",-0.849331507034918,-4.95721849364787,2.51146792435511e-06,1.34750876556541e-05,"ZDHHC4P1","ZDHHC4 pseudogene 1"
"ENSG00000125454",-0.523846957696286,-4.95484157808772,2.53684559125762e-06,1.36073739316945e-05,"SLC25A19","solute carrier family 25 member 19"
"ENSG00000249207",0.722368306094493,4.95457515921468,2.53970556505543e-06,1.36188367305762e-05,NA,NA
"ENSG00000136451",-0.458610486671309,-4.95445240204923,2.54102440303178e-06,1.36220312192125e-05,"VEZF1","vascular endothelial zinc finger 1"
"ENSG00000123329",-0.417294964920962,-4.95309502619587,2.55565179705483e-06,1.369447196585e-05,"ARHGAP9","Rho GTPase activating protein 9"
"ENSG00000165458",0.319271214088581,4.95306361451178,2.55599126403698e-06,1.369447196585e-05,"INPPL1","inositol polyphosphate phosphatase like 1"
"ENSG00000129083",-0.535599466432965,-4.95198399727811,2.56768540725189e-06,1.37532151554766e-05,"COPB1","coat protein complex I subunit beta 1"
"ENSG00000254413",-0.794168006530442,-4.94982427739057,2.59123529066642e-06,1.38754094387647e-05,"CHKB-CPT1B","CHKB-CPT1B readthrough (NMD candidate)"
"ENSG00000229358",0.850865338699701,4.949049319652,2.59973663011041e-06,1.39130223403466e-05,NA,NA
"ENSG00000178700",-0.733032838730063,-4.94908513367493,2.59934315082308e-06,1.39130223403466e-05,"DHFR2","dihydrofolate reductase 2"
"ENSG00000111271",-0.362445409058725,-4.94898180014714,2.60047860674724e-06,1.39130406117309e-05,"ACAD10","acyl-CoA dehydrogenase family member 10"
"ENSG00000160957",0.773064744818029,4.94801331789406,2.61114401264304e-06,1.39661359767659e-05,"RECQL4","RecQ like helicase 4"
"ENSG00000161267",0.55252088531212,4.94773099336909,2.61426110831451e-06,1.39788392729006e-05,"BDH1","3-hydroxybutyrate dehydrogenase 1"
"ENSG00000187049",-0.450374191186691,-4.94744217331508,2.61745366382582e-06,1.39919387398271e-05,"TMEM216","transmembrane protein 216"
"ENSG00000162769",0.54270542167977,4.94713605467562,2.62084157242184e-06,1.40060747634844e-05,"FLVCR1","FLVCR choline and heme transporter 1"
"ENSG00000137642",-0.494535704017115,-4.94691122031454,2.62333259849021e-06,1.40114373377824e-05,"SORL1","sortilin related receptor 1"
"ENSG00000167578",-0.340050862380738,-4.94696838818031,2.62269899562347e-06,1.40114373377824e-05,"RAB4B","RAB4B, member RAS oncogene family"
"ENSG00000169371",-0.436995064965793,-4.94593606873606,2.63416334747044e-06,1.40652973751837e-05,"SNUPN","snurportin 1"
"ENSG00000112972",0.551073900303519,4.94555167247471,2.63844467084641e-06,1.40841656869948e-05,"HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1"
"ENSG00000163634",-0.405061176182443,-4.94490667741553,2.64564369310514e-06,1.41185937367464e-05,"THOC7","THO complex subunit 7"
"ENSG00000147454",-0.689371557336129,-4.94276757684744,2.66965592577777e-06,1.42427013111871e-05,"SLC25A37","solute carrier family 25 member 37"
"ENSG00000282458",0.428771346038223,4.94260906688957,2.67144366973274e-06,1.42482038081612e-05,NA,NA
"ENSG00000237719",-0.752846867679193,-4.94215881777938,2.67652812534546e-06,1.42662716278626e-05,NA,NA
"ENSG00000135677",-0.543346811340259,-4.94221199886853,2.67592708616381e-06,1.42662716278626e-05,"GNS","glucosamine (N-acetyl)-6-sulfatase"
"ENSG00000145216",-0.469857497157309,-4.94210794437216,2.67710320652375e-06,1.42662716278626e-05,"FIP1L1","factor interacting with PAPOLA and CPSF1"
"ENSG00000286786",0.616399184345949,4.94106789197809,2.68888649369521e-06,1.432460530097e-05,NA,NA
