"Gene","logFC","t","PValue","FDR"
"ENSG00000151320",1.09169733135731,5.70935784280202,9.14647545543266e-08,4.46839482960167e-07
"ENSG00000225937",1.13907056026871,5.70726121299963,9.23446404522207e-08,4.50761279762445e-07
"ENSG00000162302",1.02558819623206,5.70485071761426,9.33665063745189e-08,4.55421607219883e-07
"ENSG00000196834",1.06474671717327,5.69954970705009,9.56528960184775e-08,4.65850376214085e-07
"ENSG00000182809",1.097409099744,5.67114861913014,1.08869776764191e-07,5.25256530733884e-07
"ENSG00000184185",1.11677326903462,5.66948376596114,1.09697788870663e-07,5.28513285612671e-07
"ENSG00000149633",1.11358134931036,5.66591651266222,1.11492797885998e-07,5.36475434629994e-07
"ENSG00000147862",1.03104232563433,5.66246118265534,1.13258928326899e-07,5.44000941311098e-07
"ENSG00000008118",1.00423562638036,5.66214525596993,1.13421770387946e-07,5.44644229051271e-07
"ENSG00000212864",1.02961385691856,5.66021798036259,1.14420152617609e-07,5.49158429302044e-07
"ENSG00000107731",1.03404224403409,5.65964405860025,1.14719121128136e-07,5.50312911589466e-07
"ENSG00000279717",1.16672747827174,5.65925133636008,1.1492413994887e-07,5.51156045915687e-07
"ENSG00000182050",1.4149345774031,5.6571008154001,1.16053193869645e-07,5.56287548630121e-07
"ENSG00000185974",1.04250442274126,5.6537051297327,1.17858151940005e-07,5.64652051435861e-07
"ENSG00000134107",1.08122287221567,5.64951169140675,1.20125156774397e-07,5.74490404497609e-07
"ENSG00000241369",1.16984463017375,5.64821354424404,1.20835569013014e-07,5.7759463310509e-07
"ENSG00000198326",1.04437649717084,5.64407163314195,1.23129875040719e-07,5.8736910256193e-07
"ENSG00000013725",1.12789720695557,5.63805683866452,1.26537817113679e-07,6.02862771569924e-07
"ENSG00000261786",1.24139156539687,5.6355598606931,1.27979588925842e-07,6.08961731797172e-07
"ENSG00000007062",1.05679591051334,5.63543399704646,1.28052688097939e-07,6.09001903152983e-07
"ENSG00000260230",1.19308030471695,5.63500950984666,1.28299523903104e-07,6.10021815064783e-07
"ENSG00000105392",1.09052958229087,5.63340574054319,1.29236318564345e-07,6.14011038868886e-07
"ENSG00000206077",1.0857381348994,5.6312060632022,1.30532105698598e-07,6.19698540108416e-07
"ENSG00000172379",1.18068436953658,5.62142587526503,1.36449259934857e-07,6.45350529413214e-07
"ENSG00000149596",1.07085030723024,5.6187013274708,1.38143939789554e-07,6.52873943240243e-07
"ENSG00000249238",1.11838638843886,5.61784731808498,1.38679370108934e-07,6.55075720690097e-07
"ENSG00000152760",1.07203342154971,5.61233669546782,1.42183536431815e-07,6.69702315433785e-07
"ENSG00000287475",1.00691537032109,5.6102314287128,1.43545039924442e-07,6.755187264793e-07
"ENSG00000244694",1.2236987818909,5.60618852676511,1.46195551067353e-07,6.87283739214522e-07
"ENSG00000255537",1.16917975895255,5.60614026702662,1.46227477798694e-07,6.87283739214522e-07
"ENSG00000124006",1.00181425154176,5.59498012266663,1.53797012743506e-07,7.19450739027108e-07
"ENSG00000129757",1.14537293912381,5.58831367671678,1.58500382292163e-07,7.39982701764504e-07
"ENSG00000205592",1.10230910766227,5.58608638276996,1.60102983896699e-07,7.4653960659555e-07
"ENSG00000261115",1.17072043181895,5.57326499026875,1.69641732914029e-07,7.87314847162968e-07
"ENSG00000154736",1.16354915058761,5.57271241328671,1.70065110300531e-07,7.88891048471167e-07
"ENSG00000198816",1.05515751828906,5.57218537035539,1.70469888025969e-07,7.90379461145262e-07
"ENSG00000231764",1.23966140029437,5.567347813972,1.74229563925385e-07,8.06619937386681e-07
"ENSG00000260816",1.01161245953864,5.56691458896243,1.74570195024277e-07,8.07799885499224e-07
"ENSG00000122863",1.1150586603218,5.55971540591639,1.80327091695963e-07,8.31782995437943e-07
"ENSG00000255346",1.18368866240575,5.55673341232358,1.82765759551159e-07,8.41580586715408e-07
"ENSG00000151067",1.01264731785054,5.55341612140106,1.85516588504743e-07,8.53213255432702e-07
"ENSG00000266290",1.02076409049884,5.55264113110461,1.86165060440946e-07,8.55777796141178e-07
"ENSG00000172377",1.06813387621202,5.54980302437881,1.88558845506647e-07,8.65936502109755e-07
"ENSG00000188536",1.78659883887464,5.54666133201687,1.91243843507204e-07,8.77197838809037e-07
"ENSG00000196350",1.22784475109428,5.54591601120062,1.91886294005412e-07,8.79716234235568e-07
"ENSG00000187391",1.1347599519623,5.53236788827266,2.03939664785169e-07,9.31123462245036e-07
"ENSG00000155066",1.01963913234864,5.52782068657484,2.08148962791889e-07,9.48644415318336e-07
"ENSG00000148082",1.02416174085761,5.52104155367271,2.14582700502819e-07,9.76403118857997e-07
"ENSG00000287176",1.22120668880862,5.52045555232062,2.15147899690559e-07,9.78738501417715e-07
"ENSG00000143479",1.00232537993128,5.51734891730954,2.18168682815587e-07,9.91522713360684e-07
"ENSG00000183775",1.19473088037308,5.5140195469247,2.21452137481379e-07,1.00499045190899e-06
"ENSG00000142408",1.0176767353213,5.50630257180462,2.29249800192117e-07,1.03887604907845e-06
"ENSG00000225683",1.17979088185978,5.49456183581369,2.41631376714516e-07,1.09052512567035e-06
"ENSG00000234377",1.08934848707872,5.49319731992422,2.43112145603058e-07,1.09694529314261e-06
"ENSG00000187997",1.0476606944264,5.49178672503711,2.44652254440694e-07,1.10336585328077e-06
"ENSG00000166833",1.06043302238695,5.48513165973593,2.5204809649208e-07,1.13454768021931e-06
"ENSG00000145864",1.15603456858995,5.4838416065889,2.53506851916752e-07,1.13948033319202e-06
"ENSG00000184330",1.03542581139759,5.48174022307747,2.55900744456891e-07,1.14941779305649e-06
"ENSG00000287516",1.14904639327199,5.48001613143495,2.57881334354674e-07,1.1577618151986e-06
"ENSG00000082781",1.05281206259264,5.47807058703466,2.60134339659965e-07,1.16676326012584e-06
"ENSG00000243509",1.0679520185633,5.47415021917395,2.64732918998831e-07,1.1851327775903e-06
"ENSG00000146352",1.1019359883757,5.4720400652393,2.67240954859344e-07,1.1949406854119e-06
"ENSG00000113389",1.11904241863256,5.47167569319785,2.67676378901343e-07,1.19660361313325e-06
"ENSG00000101276",1.05486249594636,5.47053867388342,2.6903958274081e-07,1.20241225614979e-06
"ENSG00000141338",1.13822865642303,5.46996928640242,2.69724787274676e-07,1.2046632814878e-06
"ENSG00000172572",1.12114909337509,5.46908127123285,2.70796839817307e-07,1.20911848032198e-06
"ENSG00000118257",1.06482052476136,5.4651131654055,2.75638475699614e-07,1.22823340293148e-06
"ENSG00000279486",1.20434891926049,5.46443208307848,2.76477962755719e-07,1.23069278411915e-06
"ENSG00000177694",1.14357828708885,5.46446183976143,2.76441233123723e-07,1.23069278411915e-06
"ENSG00000261402",1.01305703464586,5.46371702270478,2.77362022104001e-07,1.23433635067214e-06
"ENSG00000227906",1.10921862190601,5.46310365289694,2.78122560315054e-07,1.23742862333845e-06
"ENSG00000004939",1.43490610460207,5.46152164582826,2.80093574905429e-07,1.24590384039397e-06
"ENSG00000251629",1.15890848367235,5.46134220626692,2.80317998821749e-07,1.24660775774413e-06
