"factor","rank","feature","Assay","UniProt","Panel","Panel_Version","value","abs_weight","view"
"Factor6",1,"OID21149","CA2","P00918","NEUROLOGY",1,0.687000811100006,0.687000811100006,"Protein"
"Factor6",2,"OID20744","DNPH1","O43598","INFLAMMATION",1,0.686583518981934,0.686583518981934,"Protein"
"Factor6",3,"OID20682","PKLR","P30613","INFLAMMATION",1,0.684618651866913,0.684618651866913,"Protein"
"Factor6",4,"OID20122","AK1","P00568","CARDIOMETABOLIC",1,0.682938456535339,0.682938456535339,"Protein"
"Factor6",5,"OID21141","BLVRB","P30043","NEUROLOGY",1,0.678993582725525,0.678993582725525,"Protein"
"Factor6",6,"OID21459","HAGH","Q16775","ONCOLOGY",1,0.667116701602936,0.667116701602936,"Protein"
"Factor6",7,"OID21433","HBQ1","P09105","ONCOLOGY",1,0.664221584796906,0.664221584796906,"Protein"
"Factor6",8,"OID20409","CA1","P00915","CARDIOMETABOLIC",1,0.66145259141922,0.66145259141922,"Protein"
"Factor6",9,"OID20141","TGM2","P21980","CARDIOMETABOLIC",1,0.659976363182068,0.659976363182068,"Protein"
"Factor6",10,"OID21385","HMBS","P08397","ONCOLOGY",1,0.659885704517365,0.659885704517365,"Protein"
"Factor6",11,"OID21003","LXN","Q9BS40","NEUROLOGY",1,0.657356083393097,0.657356083393097,"Protein"
"Factor6",12,"OID20749","LHPP","Q9H008","INFLAMMATION",1,0.646584153175354,0.646584153175354,"Protein"
"Factor6",13,"OID21336","UBAC1","Q9BSL1","ONCOLOGY",1,0.643796563148499,0.643796563148499,"Protein"
"Factor6",14,"OID20859","CARHSP1","Q9Y2V2","NEUROLOGY",1,0.642415821552277,0.642415821552277,"Protein"
"Factor6",15,"OID20973","CCS","O14618","NEUROLOGY",1,0.63787567615509,0.63787567615509,"Protein"
"Factor6",16,"OID21304","PSMD9","O00233","ONCOLOGY",1,0.627213716506958,0.627213716506958,"Protein"
"Factor6",17,"OID21445","ARG1","P05089","ONCOLOGY",1,0.618727445602417,0.618727445602417,"Protein"
"Factor6",18,"OID21246","ATG4A","Q8WYN0","ONCOLOGY",1,0.609642207622528,0.609642207622528,"Protein"
"Factor6",19,"OID21347","PPME1","Q9Y570","ONCOLOGY",1,0.608787596225739,0.608787596225739,"Protein"
"Factor6",20,"OID21519","S100A4","P26447","ONCOLOGY",1,0.605488181114197,0.605488181114197,"Protein"
