"factor","rank","feature","value","abs_weight","view"
"Factor2",14,"OID20675",0.00589972827583551,0.00589972827583551,"Protein"
"Factor2",15,"OID21125",-0.005831987131387,0.005831987131387,"Protein"
"Factor2",16,"OID21040",0.00577954854816198,0.00577954854816198,"Protein"
"Factor2",17,"OID20718",-0.0057479995302856,0.0057479995302856,"Protein"
"Factor2",18,"OID20908",0.00573624158278108,0.00573624158278108,"Protein"
"Factor2",19,"OID20781",-0.00569231156259775,0.00569231156259775,"Protein"
"Factor2",20,"OID20567",0.00567135121673346,0.00567135121673346,"Protein"
"Factor3",1,"OID21521",0.44264617562294,0.44264617562294,"Protein"
"Factor3",2,"OID20305",0.440595597028732,0.440595597028732,"Protein"
"Factor3",3,"OID21176",0.437437862157822,0.437437862157822,"Protein"
"Factor3",4,"OID20685",0.430643111467361,0.430643111467361,"Protein"
"Factor3",5,"OID20615",0.429093599319458,0.429093599319458,"Protein"
"Factor3",6,"OID21477",0.42689511179924,0.42689511179924,"Protein"
"Factor3",7,"OID21253",0.424726545810699,0.424726545810699,"Protein"
"Factor3",8,"OID20903",0.421512633562088,0.421512633562088,"Protein"
"Factor3",9,"OID21281",0.42134964466095,0.42134964466095,"Protein"
"Factor3",10,"OID21285",0.419964909553528,0.419964909553528,"Protein"
"Factor3",11,"OID20865",0.419395565986633,0.419395565986633,"Protein"
"Factor3",12,"OID20577",0.419114083051682,0.419114083051682,"Protein"
"Factor3",13,"OID20717",0.418949633836746,0.418949633836746,"Protein"
"Factor3",14,"OID20425",0.416231632232666,0.416231632232666,"Protein"
"Factor3",15,"OID20515",0.414658844470978,0.414658844470978,"Protein"
"Factor3",16,"OID20930",0.414010316133499,0.414010316133499,"Protein"
"Factor3",17,"OID20683",0.413463115692139,0.413463115692139,"Protein"
"Factor3",18,"OID21240",0.413430422544479,0.413430422544479,"Protein"
"Factor3",19,"OID20524",0.413014084100723,0.413014084100723,"Protein"
"Factor3",20,"OID20507",0.412685751914978,0.412685751914978,"Protein"
"Factor4",1,"OID20211",-0.445785224437714,0.445785224437714,"Protein"
"Factor4",2,"OID20795",-0.424449801445007,0.424449801445007,"Protein"
"Factor4",3,"OID20654",-0.395557999610901,0.395557999610901,"Protein"
"Factor4",4,"OID20697",-0.359919309616089,0.359919309616089,"Protein"
"Factor4",5,"OID20462",0.346303403377533,0.346303403377533,"Protein"
"Factor4",6,"OID21466",-0.33320489525795,0.33320489525795,"Protein"
"Factor4",7,"OID21111",0.32214543223381,0.32214543223381,"Protein"
"Factor4",8,"OID20169",0.320768028497696,0.320768028497696,"Protein"
"Factor4",9,"OID20581",-0.307209044694901,0.307209044694901,"Protein"
"Factor4",10,"OID20491",-0.304821729660034,0.304821729660034,"Protein"
"Factor4",11,"OID20272",-0.299127519130707,0.299127519130707,"Protein"
"Factor4",12,"OID20772",0.299015700817108,0.299015700817108,"Protein"
"Factor4",13,"OID20660",-0.29688024520874,0.29688024520874,"Protein"
"Factor4",14,"OID20653",0.289665967226028,0.289665967226028,"Protein"
"Factor4",15,"OID21096",-0.279610276222229,0.279610276222229,"Protein"
"Factor4",16,"OID21380",0.268733888864517,0.268733888864517,"Protein"
"Factor4",17,"OID20334",0.268727451562881,0.268727451562881,"Protein"
"Factor4",18,"OID20196",-0.265116930007935,0.265116930007935,"Protein"
"Factor4",19,"OID20214",0.263574212789536,0.263574212789536,"Protein"
"Factor4",20,"OID20495",-0.261486768722534,0.261486768722534,"Protein"
"Factor5",1,"OID20101",-0.493754506111145,0.493754506111145,"Protein"
"Factor5",2,"OID21276",-0.492899566888809,0.492899566888809,"Protein"
"Factor5",3,"OID20563",-0.49012815952301,0.49012815952301,"Protein"
"Factor5",4,"OID20911",-0.489963918924332,0.489963918924332,"Protein"
"Factor5",5,"OID20611",0.489913821220398,0.489913821220398,"Protein"
"Factor5",6,"OID20574",-0.468609511852264,0.468609511852264,"Protein"
"Factor5",7,"OID20523",-0.467862784862518,0.467862784862518,"Protein"
"Factor5",8,"OID21517",0.466635495424271,0.466635495424271,"Protein"
"Factor5",9,"OID20274",-0.464396297931671,0.464396297931671,"Protein"
"Factor5",10,"OID21421",-0.458297342061996,0.458297342061996,"Protein"
"Factor5",11,"OID21019",-0.453214973211288,0.453214973211288,"Protein"
"Factor5",12,"OID21374",-0.445123851299286,0.445123851299286,"Protein"
"Factor5",13,"OID20355",-0.441445171833038,0.441445171833038,"Protein"
"Factor5",14,"OID20671",-0.435792058706284,0.435792058706284,"Protein"
"Factor5",15,"OID20824",-0.421472907066345,0.421472907066345,"Protein"
"Factor5",16,"OID20656",-0.414777129888535,0.414777129888535,"Protein"
"Factor5",17,"OID20329",-0.40985631942749,0.40985631942749,"Protein"
"Factor5",18,"OID20250",-0.400549650192261,0.400549650192261,"Protein"
"Factor5",19,"OID21310",-0.397842288017273,0.397842288017273,"Protein"
"Factor5",20,"OID21450",0.396410584449768,0.396410584449768,"Protein"
"Factor6",1,"OID21149",0.687000811100006,0.687000811100006,"Protein"
"Factor6",2,"OID20744",0.686583518981934,0.686583518981934,"Protein"
"Factor6",3,"OID20682",0.684618651866913,0.684618651866913,"Protein"
"Factor6",4,"OID20122",0.682938456535339,0.682938456535339,"Protein"
"Factor6",5,"OID21141",0.678993582725525,0.678993582725525,"Protein"
"Factor6",6,"OID21459",0.667116701602936,0.667116701602936,"Protein"
"Factor6",7,"OID21433",0.664221584796906,0.664221584796906,"Protein"
"Factor6",8,"OID20409",0.66145259141922,0.66145259141922,"Protein"
"Factor6",9,"OID20141",0.659976363182068,0.659976363182068,"Protein"
"Factor6",10,"OID21385",0.659885704517365,0.659885704517365,"Protein"
"Factor6",11,"OID21003",0.657356083393097,0.657356083393097,"Protein"
"Factor6",12,"OID20749",0.646584153175354,0.646584153175354,"Protein"
"Factor6",13,"OID21336",0.643796563148499,0.643796563148499,"Protein"
"Factor6",14,"OID20859",0.642415821552277,0.642415821552277,"Protein"
"Factor6",15,"OID20973",0.63787567615509,0.63787567615509,"Protein"
"Factor6",16,"OID21304",0.627213716506958,0.627213716506958,"Protein"
"Factor6",17,"OID21445",0.618727445602417,0.618727445602417,"Protein"
"Factor6",18,"OID21246",0.609642207622528,0.609642207622528,"Protein"
"Factor6",19,"OID21347",0.608787596225739,0.608787596225739,"Protein"
"Factor6",20,"OID21519",0.605488181114197,0.605488181114197,"Protein"
"Factor7",1,"OID21187",-0.516317546367645,0.516317546367645,"Protein"
"Factor7",2,"OID20599",-0.465022295713425,0.465022295713425,"Protein"
"Factor7",3,"OID20148",-0.447083085775375,0.447083085775375,"Protein"
"Factor7",4,"OID20523",-0.445068329572678,0.445068329572678,"Protein"
"Factor7",5,"OID20178",-0.441599726676941,0.441599726676941,"Protein"
"Factor7",6,"OID21084",-0.433979272842407,0.433979272842407,"Protein"
"Factor7",7,"OID20883",-0.414576560258865,0.414576560258865,"Protein"
"Factor7",8,"OID20754",0.390877068042755,0.390877068042755,"Protein"
"Factor7",9,"OID21049",-0.388309836387634,0.388309836387634,"Protein"
"Factor7",10,"OID21481",-0.387107968330383,0.387107968330383,"Protein"
"Factor7",11,"OID20355",-0.364398539066315,0.364398539066315,"Protein"
"Factor7",12,"OID20596",-0.357824832201004,0.357824832201004,"Protein"
"Factor7",13,"OID21514",-0.355380564928055,0.355380564928055,"Protein"
"Factor7",14,"OID21429",-0.35492417216301,0.35492417216301,"Protein"
"Factor7",15,"OID20904",-0.351704329252243,0.351704329252243,"Protein"
"Factor7",16,"OID21421",-0.348925977945328,0.348925977945328,"Protein"
"Factor7",17,"OID20911",-0.328591048717499,0.328591048717499,"Protein"
"Factor7",18,"OID20702",-0.326687842607498,0.326687842607498,"Protein"
"Factor7",19,"OID21276",-0.326385796070099,0.326385796070099,"Protein"
"Factor7",20,"OID20101",-0.325482547283173,0.325482547283173,"Protein"
"Factor8",1,"OID20117",-0.776646852493286,0.776646852493286,"Protein"
"Factor8",2,"OID20139",-0.764868974685669,0.764868974685669,"Protein"
"Factor8",3,"OID20166",-0.762143492698669,0.762143492698669,"Protein"
"Factor8",4,"OID21425",-0.760218441486359,0.760218441486359,"Protein"
"Factor8",5,"OID20669",-0.753438472747803,0.753438472747803,"Protein"
"Factor8",6,"OID20137",-0.729636311531067,0.729636311531067,"Protein"
"Factor8",7,"OID20508",-0.702633082866669,0.702633082866669,"Protein"
"Factor8",8,"OID21395",-0.697726726531982,0.697726726531982,"Protein"
"Factor8",9,"OID21242",-0.695866703987122,0.695866703987122,"Protein"
"Factor8",10,"OID20839",-0.686514794826508,0.686514794826508,"Protein"
"Factor8",11,"OID20227",-0.648357272148132,0.648357272148132,"Protein"
"Factor8",12,"OID21453",-0.639619052410126,0.639619052410126,"Protein"
"Factor8",13,"OID21269",-0.627494871616364,0.627494871616364,"Protein"
"Factor8",14,"OID21480",-0.621188640594482,0.621188640594482,"Protein"
"Factor8",15,"OID20075",-0.612079620361328,0.612079620361328,"Protein"
"Factor8",16,"OID20714",-0.602633893489838,0.602633893489838,"Protein"
"Factor8",17,"OID21161",-0.584976613521576,0.584976613521576,"Protein"
"Factor8",18,"OID20847",-0.584361970424652,0.584361970424652,"Protein"
"Factor8",19,"OID20215",-0.583387553691864,0.583387553691864,"Protein"
"Factor8",20,"OID20459",-0.57740592956543,0.57740592956543,"Protein"
"Factor9",1,"OID20795",-0.39365616440773,0.39365616440773,"Protein"
"Factor9",2,"OID20690",-0.383077055215836,0.383077055215836,"Protein"
"Factor9",3,"OID20697",-0.381867378950119,0.381867378950119,"Protein"
"Factor9",4,"OID20495",-0.380515545606613,0.380515545606613,"Protein"
"Factor9",5,"OID21466",-0.372849583625793,0.372849583625793,"Protein"
"Factor9",6,"OID20604",-0.350646436214447,0.350646436214447,"Protein"
"Factor9",7,"OID21042",-0.329821676015854,0.329821676015854,"Protein"
"Factor9",8,"OID20272",-0.326364696025848,0.326364696025848,"Protein"
"Factor9",9,"OID21315",-0.289824098348618,0.289824098348618,"Protein"
"Factor9",10,"OID20660",-0.288298040628433,0.288298040628433,"Protein"
"Factor9",11,"OID20772",0.285043984651566,0.285043984651566,"Protein"
"Factor9",12,"OID20654",-0.281731009483337,0.281731009483337,"Protein"
"Factor9",13,"OID20611",-0.275734305381775,0.275734305381775,"Protein"
"Factor9",14,"OID20755",-0.263750553131104,0.263750553131104,"Protein"
"Factor9",15,"OID20781",-0.26236629486084,0.26236629486084,"Protein"
"Factor9",16,"OID20575",-0.25303253531456,0.25303253531456,"Protein"
"Factor9",17,"OID20264",-0.250911593437195,0.250911593437195,"Protein"
"Factor9",18,"OID20178",-0.250665187835693,0.250665187835693,"Protein"
"Factor9",19,"OID20719",-0.249099507927895,0.249099507927895,"Protein"
"Factor9",20,"OID20732",0.24308043718338,0.24308043718338,"Protein"
"Factor10",1,"OID20589",-0.0297324974089861,0.0297324974089861,"Protein"
"Factor10",2,"OID20616",0.0290967114269733,0.0290967114269733,"Protein"
"Factor10",3,"OID20155",-0.0261516496539116,0.0261516496539116,"Protein"
"Factor10",4,"OID20698",0.0245715864002705,0.0245715864002705,"Protein"
"Factor10",5,"OID21052",-0.0238894391804934,0.0238894391804934,"Protein"
"Factor10",6,"OID21381",-0.0236726626753807,0.0236726626753807,"Protein"
"Factor10",7,"OID20114",-0.0229837819933891,0.0229837819933891,"Protein"
"Factor10",8,"OID20733",0.0226914416998625,0.0226914416998625,"Protein"
"Factor10",9,"OID20691",0.0219233520328999,0.0219233520328999,"Protein"
"Factor10",10,"OID20375",-0.0217677485197783,0.0217677485197783,"Protein"
"Factor10",11,"OID20172",-0.0215556286275387,0.0215556286275387,"Protein"
"Factor10",12,"OID20758",0.0202677175402641,0.0202677175402641,"Protein"
"Factor10",13,"OID20756",0.0197583492845297,0.0197583492845297,"Protein"
"Factor10",14,"OID20108",0.0193372592329979,0.0193372592329979,"Protein"
"Factor10",15,"OID21401",0.0193159710615873,0.0193159710615873,"Protein"
"Factor10",16,"OID20787",-0.0189705193042755,0.0189705193042755,"Protein"
"Factor10",17,"OID21041",-0.0189360734075308,0.0189360734075308,"Protein"
"Factor10",18,"OID20557",-0.0189354103058577,0.0189354103058577,"Protein"
"Factor10",19,"OID20322",0.0188416764140129,0.0188416764140129,"Protein"
"Factor10",20,"OID21008",-0.0187047850340605,0.0187047850340605,"Protein"
"Factor11",1,"OID20957",0.152171939611435,0.152171939611435,"Protein"
"Factor11",2,"OID21407",0.150199800729752,0.150199800729752,"Protein"
"Factor11",3,"OID21121",0.14557196199894,0.14557196199894,"Protein"
"Factor11",4,"OID21055",0.135316297411919,0.135316297411919,"Protein"
"Factor11",5,"OID20706",0.129389837384224,0.129389837384224,"Protein"
"Factor11",6,"OID21412",0.129129037261009,0.129129037261009,"Protein"
"Factor11",7,"OID21352",0.127860620617867,0.127860620617867,"Protein"
"Factor11",8,"OID21353",0.123898699879646,0.123898699879646,"Protein"
"Factor11",9,"OID20481",0.114631965756416,0.114631965756416,"Protein"
"Factor11",10,"OID20511",-0.112704031169415,0.112704031169415,"Protein"
"Factor11",11,"OID21147",0.111877538263798,0.111877538263798,"Protein"
"Factor11",12,"OID20759",0.102406919002533,0.102406919002533,"Protein"
"Factor11",13,"OID20697",-0.102164439857006,0.102164439857006,"Protein"
"Factor11",14,"OID20725",0.102070078253746,0.102070078253746,"Protein"
"Factor11",15,"OID20735",0.101992547512054,0.101992547512054,"Protein"
"Factor11",16,"OID20096",0.099124476313591,0.099124476313591,"Protein"
"Factor11",17,"OID21525",-0.0976573824882507,0.0976573824882507,"Protein"
"Factor11",18,"OID20348",-0.0976395085453987,0.0976395085453987,"Protein"
"Factor11",19,"OID20462",0.0951546281576157,0.0951546281576157,"Protein"
"Factor11",20,"OID20279",0.0945669189095497,0.0945669189095497,"Protein"
"Factor12",1,"OID20383",-0.00622197007760406,0.00622197007760406,"Protein"
"Factor12",2,"OID20683",-0.0052578654140234,0.0052578654140234,"Protein"
"Factor12",3,"OID20545",-0.00515765743330121,0.00515765743330121,"Protein"
"Factor12",4,"OID20738",-0.00503158802166581,0.00503158802166581,"Protein"
"Factor12",5,"OID20583",-0.00488910125568509,0.00488910125568509,"Protein"
"Factor12",6,"OID20174",0.00448288302868605,0.00448288302868605,"Protein"
"Factor12",7,"OID20589",0.00434473063796759,0.00434473063796759,"Protein"
"Factor12",8,"OID21363",-0.00429832050576806,0.00429832050576806,"Protein"
"Factor12",9,"OID20192",0.00428103422746062,0.00428103422746062,"Protein"
"Factor12",10,"OID21205",0.00410383893176913,0.00410383893176913,"Protein"
"Factor12",11,"OID20114",0.00402910867705941,0.00402910867705941,"Protein"
"Factor12",12,"OID20648",-0.00392778776586056,0.00392778776586056,"Protein"
"Factor12",13,"OID21519",-0.00390087114647031,0.00390087114647031,"Protein"
"Factor12",14,"OID21118",-0.00386812631040812,0.00386812631040812,"Protein"
"Factor12",15,"OID20165",0.00381325231865048,0.00381325231865048,"Protein"
"Factor12",16,"OID20297",0.00377214048057795,0.00377214048057795,"Protein"
"Factor12",17,"OID21003",-0.00376209523528814,0.00376209523528814,"Protein"
"Factor12",18,"OID21459",-0.00375980511307716,0.00375980511307716,"Protein"
"Factor12",19,"OID21275",-0.00372161623090506,0.00372161623090506,"Protein"
"Factor12",20,"OID20717",-0.00369693827815354,0.00369693827815354,"Protein"
"Factor13",1,"OID20534",0.352394670248032,0.352394670248032,"Protein"
"Factor13",2,"OID21360",0.328874796628952,0.328874796628952,"Protein"
"Factor13",3,"OID20337",-0.326606631278992,0.326606631278992,"Protein"
"Factor13",4,"OID21403",0.32485631108284,0.32485631108284,"Protein"
"Factor13",5,"OID21312",-0.321549862623215,0.321549862623215,"Protein"
"Factor13",6,"OID20132",-0.316261619329453,0.316261619329453,"Protein"
"Factor13",7,"OID21283",0.31584843993187,0.31584843993187,"Protein"
"Factor13",8,"OID20630",0.313408315181732,0.313408315181732,"Protein"
"Factor13",9,"OID21118",0.307543903589249,0.307543903589249,"Protein"
"Factor13",10,"OID20940",-0.303629875183105,0.303629875183105,"Protein"
"Factor13",11,"OID20394",-0.298917025327682,0.298917025327682,"Protein"
"Factor13",12,"OID20896",0.297122925519943,0.297122925519943,"Protein"
"Factor13",13,"OID21410",0.29635152220726,0.29635152220726,"Protein"
"Factor13",14,"OID20822",0.295320957899094,0.295320957899094,"Protein"
"Factor13",15,"OID20169",-0.291014015674591,0.291014015674591,"Protein"
"Factor13",16,"OID20208",-0.290714502334595,0.290714502334595,"Protein"
"Factor13",17,"OID21512",-0.289012908935547,0.289012908935547,"Protein"
"Factor13",18,"OID21172",0.286662697792053,0.286662697792053,"Protein"
"Factor13",19,"OID21104",-0.285096973180771,0.285096973180771,"Protein"
"Factor13",20,"OID20424",0.281519830226898,0.281519830226898,"Protein"
"Factor14",1,"OID20856",-0.00719331856817007,0.00719331856817007,"Protein"
"Factor14",2,"OID20742",0.00699319038540125,0.00699319038540125,"Protein"
"Factor14",3,"OID20485",0.00684147328138351,0.00684147328138351,"Protein"
"Factor14",4,"OID21477",0.00683567672967911,0.00683567672967911,"Protein"
"Factor14",5,"OID20724",-0.00624895840883255,0.00624895840883255,"Protein"
"Factor14",6,"OID21442",0.00613671727478504,0.00613671727478504,"Protein"
"Factor14",7,"OID21521",0.00612347293645144,0.00612347293645144,"Protein"
"Factor14",8,"OID21050",-0.00604127859696746,0.00604127859696746,"Protein"
"Factor14",9,"OID20292",-0.00589259807020426,0.00589259807020426,"Protein"
"Factor14",10,"OID21145",0.00587636511772871,0.00587636511772871,"Protein"
"Factor14",11,"OID21459",-0.00583844073116779,0.00583844073116779,"Protein"
"Factor14",12,"OID20646",0.0056772893294692,0.0056772893294692,"Protein"
"Factor14",13,"OID21319",-0.00565903866663575,0.00565903866663575,"Protein"
"Factor14",14,"OID20553",0.00557403452694416,0.00557403452694416,"Protein"
"Factor14",15,"OID20507",0.00542788486927748,0.00542788486927748,"Protein"
"Factor14",16,"OID21428",-0.00536212464794517,0.00536212464794517,"Protein"
"Factor14",17,"OID21326",0.00532280141487718,0.00532280141487718,"Protein"
"Factor14",18,"OID21446",-0.00518399151042104,0.00518399151042104,"Protein"
"Factor14",19,"OID20176",-0.00514753302559257,0.00514753302559257,"Protein"
"Factor14",20,"OID20698",-0.00513609778136015,0.00513609778136015,"Protein"
"Factor15",1,"OID20511",0.420323967933655,0.420323967933655,"Protein"
"Factor15",2,"OID20187",-0.218226999044418,0.218226999044418,"Protein"
"Factor15",3,"OID21456",0.199892103672028,0.199892103672028,"Protein"
"Factor15",4,"OID20980",0.196047440171242,0.196047440171242,"Protein"
"Factor15",5,"OID20188",-0.193899020552635,0.193899020552635,"Protein"
"Factor15",6,"OID21069",-0.178351536393166,0.178351536393166,"Protein"
"Factor15",7,"OID21083",0.168586954474449,0.168586954474449,"Protein"
"Factor15",8,"OID20543",0.168401762843132,0.168401762843132,"Protein"
"Factor15",9,"OID20259",-0.164578944444656,0.164578944444656,"Protein"
"Factor15",10,"OID21282",0.159672141075134,0.159672141075134,"Protein"
"Factor15",11,"OID20245",-0.155835181474686,0.155835181474686,"Protein"
"Factor15",12,"OID20115",0.148095145821571,0.148095145821571,"Protein"
"Factor15",13,"OID21454",-0.145151674747467,0.145151674747467,"Protein"
"Factor15",14,"OID20346",0.144027948379517,0.144027948379517,"Protein"
"Factor15",15,"OID20175",-0.141911849379539,0.141911849379539,"Protein"
"Factor15",16,"OID20204",0.141601517796516,0.141601517796516,"Protein"
"Factor15",17,"OID21516",0.13592666387558,0.13592666387558,"Protein"
"Factor15",18,"OID21362",-0.130394592881203,0.130394592881203,"Protein"
"Factor15",19,"OID20293",0.128398329019547,0.128398329019547,"Protein"
"Factor15",20,"OID20398",-0.124928325414658,0.124928325414658,"Protein"
