"Gene","Variance"
"ENSG00000225684",4.27138628035524
"ENSG00000284554",4.25701580725332
"ENSG00000213742",4.25666143471807
"ENSG00000086506",4.25422992829642
"ENSG00000274615",4.24976796149033
"ENSG00000269891",4.24625324156267
"ENSG00000211666",4.24607683345764
"ENSG00000259075",4.24376764203148
"ENSG00000285292",4.23916991386887
"ENSG00000282639",4.22322329531885
"ENSG00000282051",4.22116185227424
"ENSG00000185710",4.21660771491545
"ENSG00000285816",4.21593343195184
"ENSG00000215580",4.20381980948026
"ENSG00000270972",4.19762339561567
"ENSG00000278803",4.19679307843473
"ENSG00000280121",4.19505010332639
"ENSG00000229236",4.18460693116509
"ENSG00000285304",4.1766361896859
"ENSG00000151364",4.16644704674777
"ENSG00000272414",4.15871230491976
"ENSG00000272325",4.15113443494726
"ENSG00000215695",4.15012200855523
"ENSG00000224373",4.13200188282446
"ENSG00000173391",4.11062629369866
"ENSG00000188933",4.10982746986863
"ENSG00000239951",4.10760949040885
"ENSG00000182050",4.10255492301827
"ENSG00000279192",4.09128723209708
"ENSG00000213973",4.0881861864361
"ENSG00000111335",4.08486916736795
"ENSG00000265118",4.07302017447399
"ENSG00000133863",4.07124808983043
"ENSG00000187627",4.06588651801013
"ENSG00000265185",4.06090410665522
"ENSG00000211611",4.05668819069185
"ENSG00000285000",4.05471048424228
"ENSG00000140675",4.04890772414429
"ENSG00000104918",4.04269156616325
"ENSG00000230202",4.03236694766516
"ENSG00000133169",4.01341251390209
"ENSG00000288550",4.00888376107196
"ENSG00000183260",4.00240633243019
"ENSG00000276040",4.00016179672509
"ENSG00000137757",3.99773445831532
"ENSG00000267165",3.99027621756086
"ENSG00000169397",3.98012663881195
"ENSG00000276085",3.9636128483802
"ENSG00000101425",3.95278324521692
"ENSG00000225840",3.9508597141974
"ENSG00000283293",3.94985859431843
"ENSG00000270641",3.94615133397052
"ENSG00000149131",3.94275321993273
"ENSG00000223648",3.93905154176602
"ENSG00000254415",3.93469258612789
"ENSG00000254501",3.91839411870859
"ENSG00000242550",3.91328023219523
"ENSG00000108771",3.90753782296533
"ENSG00000181778",3.90549635579671
"ENSG00000255730",3.89964992060656
"ENSG00000138646",3.8849350297819
"ENSG00000163666",3.88240387582061
"ENSG00000232216",3.88229065913628
"ENSG00000137628",3.88066081548309
"ENSG00000196141",3.87795923492412
"ENSG00000163710",3.86723542009119
"ENSG00000064489",3.86697139048296
"ENSG00000211972",3.86672242327733
"ENSG00000224940",3.85696981573782
"ENSG00000263155",3.85690988790891
"ENSG00000285238",3.85251716155186
"ENSG00000249624",3.85197701215839
"ENSG00000126709",3.85108404055042
"ENSG00000157601",3.84805182837644
"ENSG00000170801",3.84353799664738
"ENSG00000129538",3.84127087501927
"ENSG00000124785",3.83308687278571
"ENSG00000275969",3.82756580923934
"ENSG00000261552",3.82701327685125
"ENSG00000065618",3.82240117610431
"ENSG00000272398",3.81827106808552
"ENSG00000211679",3.81682584435642
"ENSG00000254789",3.81389703647264
"ENSG00000253861",3.79459492330888
"ENSG00000258429",3.79333809640281
"ENSG00000211893",3.78564134707808
"ENSG00000264578",3.77562116383011
"ENSG00000233614",3.77508430848281
"ENSG00000228278",3.76968959463268
"ENSG00000241244",3.76887880309297
"ENSG00000205534",3.76402187662135
"ENSG00000286192",3.76358942577672
"ENSG00000177294",3.76290194031191
"ENSG00000259948",3.75399484568982
"ENSG00000182224",3.7468904952419
"ENSG00000244257",3.74634996888624
"ENSG00000198336",3.74067602498042
"ENSG00000255949",3.72159543323923
"ENSG00000254721",3.72157853323314
"ENSG00000288534",3.71401313299647
"ENSG00000281181",3.71144093195876
"ENSG00000285612",3.71140520875421
"ENSG00000234665",3.71023998485912
"ENSG00000161040",3.70910670513739
"ENSG00000287979",3.70588965943207
"ENSG00000255819",3.7039922071518
"ENSG00000250687",3.6995162267955
"ENSG00000279595",3.69795260453849
"ENSG00000184897",3.69211989770334
"ENSG00000132470",3.68879370177338
"ENSG00000108688",3.68845253245432
"ENSG00000268240",3.67648446635428
"ENSG00000179869",3.67647130074315
"ENSG00000159189",3.6609893084674
"ENSG00000204644",3.65965223181518
"ENSG00000172967",3.65089847698141
"ENSG00000048462",3.64945640268605
"ENSG00000136842",3.6470342581719
"ENSG00000248871",3.64646405045548
"ENSG00000197632",3.64545948976896
"ENSG00000189221",3.64293116257645
"ENSG00000270276",3.63287554980403
"ENSG00000168062",3.63138170593407
"ENSG00000254859",3.63053783760593
"ENSG00000171860",3.62274333807954
"ENSG00000170439",3.61709311990327
"ENSG00000211675",3.60862096530193
"ENSG00000089472",3.60661932698762
"ENSG00000125954",3.605454653773
"ENSG00000162520",3.60339101155135
"ENSG00000096696",3.59925865556221
"ENSG00000198848",3.59881781997827
"ENSG00000255328",3.59784534170113
"ENSG00000277209",3.59581102100734
"ENSG00000168757",3.58919487076065
"ENSG00000189357",3.5885851612886
"ENSG00000123610",3.58748871575015
"ENSG00000227198",3.58554908834893
"ENSG00000273542",3.57145053095551
"ENSG00000163568",3.56365854542305
"ENSG00000213999",3.56165201418184
"ENSG00000213648",3.5599491478591
"ENSG00000105366",3.5540568097922
"ENSG00000134827",3.55029495691414
"ENSG00000259001",3.54221770956728
"ENSG00000249790",3.53945856521793
"ENSG00000197550",3.53881298998425
"ENSG00000081041",3.53428996476651
"ENSG00000273036",3.53170625631015
"ENSG00000204849",3.53084685329515
"ENSG00000260401",3.52641264021013
"ENSG00000167601",3.52600428595989
"ENSG00000279262",3.52083913098756
"ENSG00000257878",3.51079240564965
"ENSG00000254929",3.50600644419043
"ENSG00000185304",3.50348508254866
"ENSG00000263503",3.50101257716442
"ENSG00000124208",3.48905045049848
"ENSG00000283765",3.48733617785576
"ENSG00000118432",3.48281481776606
"ENSG00000260534",3.48218945371564
"ENSG00000272273",3.4804234580432
"ENSG00000237973",3.4789955469668
