Factor,GO_ID,P_value,FDR
Factor11,GO:0070098,0.142426614744228,0.29549239060537
Factor11,GO:0016477,0.157857206790758,0.309400125309886
Factor11,GO:0008285,0.178474691857974,0.325780445088907
Factor11,GO:0030198,0.178107904722331,0.325780445088907
Factor11,GO:0035725,0.171109498636773,0.325780445088907
Factor11,GO:0050853,0.1795116738245,0.325780445088907
Factor11,GO:0006813,0.204935209639048,0.352344746396959
Factor11,GO:0006954,0.202409497212948,0.352344746396959
Factor11,GO:0007267,0.203394967735191,0.352344746396959
Factor11,GO:0043123,0.215936271662407,0.364857838326135
Factor11,GO:0071805,0.229230606507233,0.380755922673032
Factor11,GO:0007411,0.246207325787234,0.402138632119149
Factor11,GO:0006869,0.25361502052646,0.407447082157264
Factor11,GO:0007268,0.27307124529463,0.411707415982672
Factor11,GO:0050821,0.269390987138926,0.411707415982672
Factor11,GO:0060078,0.271334200662261,0.411707415982672
Factor11,GO:0098609,0.27014750971105,0.411707415982672
Factor11,GO:0006915,0.330665333338798,0.490987919200034
Factor11,GO:0016055,0.340864339200297,0.498577690173569
Factor11,GO:0030335,0.371838550654941,0.535884970061532
Factor11,GO:0051897,0.389010585741361,0.552336379998058
Factor11,GO:1902476,0.394525985712898,0.552336379998058
Factor11,GO:0006629,0.431190758255632,0.556009135645421
Factor11,GO:0007160,0.413221597210028,0.556009135645421
Factor11,GO:0007565,0.428574252434847,0.556009135645421
Factor11,GO:0035556,0.425251761538119,0.556009135645421
Factor11,GO:0043065,0.403966281623651,0.556009135645421
Factor11,GO:0045892,0.42970958464197,0.556009135645421
Factor11,GO:0030154,0.466144159570169,0.593274384907488
Factor11,GO:0030182,0.494727157644164,0.621580274988821
Factor11,GO:0007399,0.505911094807264,0.627585915077366
Factor11,GO:0001525,0.595101796427897,0.728999700624174
Factor11,GO:0007169,0.613150150535946,0.741835984599046
Factor11,GO:0007165,0.733124585610614,0.854870602760403
Factor11,GO:0042127,0.727731889595742,0.854870602760403
Factor11,GO:0043410,0.732068344295061,0.854870602760403
Factor11,GO:0055085,0.741469400353411,0.854870602760403
Factor11,GO:0007156,0.752826336847497,0.857871872221566
Factor11,GO:0090090,0.775889696977764,0.873990693147367
Factor11,GO:0006631,0.796074091461844,0.88653705640069
Factor11,GO:0070374,0.812599378647618,0.894772349522096
Factor11,GO:0071345,0.838076974633251,0.912572705711762
Factor11,GO:0001822,0.888132052254587,0.956449902428017
Factor11,GO:0005975,0.952303869902123,0.967764692349751
Factor11,GO:0006874,0.967764692349751,0.967764692349751
Factor11,GO:0007154,0.961995905051682,0.967764692349751
Factor11,GO:0007204,0.941693028870437,0.967764692349751
Factor11,GO:0007283,0.934848869567437,0.967764692349751
Factor11,GO:0019722,0.957115647485199,0.967764692349751
Factor11,GO:0034220,0.94959098573401,0.967764692349751
Factor12,GO:0061844,1.01401033799251e-06,9.93730131232663e-05
Factor12,GO:0048821,5.12090957975805e-06,0.000198908343839781
Factor12,GO:0050729,6.08903093387085e-06,0.000198908343839781
Factor12,GO:0042127,1.69061214846538e-05,0.000414199976374018
Factor12,GO:0071222,6.63719852727995e-05,0.00130089091134687
Factor12,GO:0006935,8.55085164613609e-05,0.00139663910220223
Factor12,GO:0006954,0.000100223798285937,0.00140313317600312
Factor12,GO:0031640,0.000399870689062584,0.00489841594101666
Factor12,GO:0016064,0.000488849909025493,0.00532303234272204
Factor12,GO:0000122,0.00071349860519347,0.00699228633089601
Factor12,GO:0006355,0.00103468985210333,0.00921814595510244
Factor12,GO:0007166,0.0013964311946023,0.0112535448837685
Factor12,GO:0042742,0.00149281717845908,0.0112535448837685
Factor12,GO:0007186,0.00194610248537866,0.0136227173976506
Factor12,GO:0045087,0.00213641834214696,0.0139579331686935
Factor12,GO:0032496,0.00905574706649091,0.0554664507822568
Factor12,GO:0007608,0.0100546866746731,0.0579623114187035
Factor12,GO:0045893,0.0107754844699099,0.0583790548367723
Factor12,GO:0050911,0.0113183881826395,0.0583790548367723
Factor12,GO:0050829,0.0151063484638755,0.0740211074729897
Factor12,GO:0007283,0.0161968962098493,0.0755855156459634
Factor12,GO:0006952,0.0173609381422572,0.0773350880882365
Factor12,GO:0002250,0.020081115250204,0.0787179717807997
Factor12,GO:0006958,0.0193416080733825,0.0787179717807997
Factor12,GO:0045944,0.0191750142326114,0.0787179717807997
Factor12,GO:0071456,0.0344634291986033,0.129900617748582
Factor12,GO:0071347,0.0383010835390304,0.139018747660184
Factor12,GO:0007411,0.0509813538510558,0.177571879766262
Factor12,GO:0043065,0.0543587387039578,0.177571879766262
Factor12,GO:0045892,0.0533934393426442,0.177571879766262
Factor12,GO:0010628,0.0579084537477326,0.178891636246802
Factor12,GO:0030198,0.0584135955091598,0.178891636246802
Factor12,GO:0019731,0.0652858000895816,0.193879042690273
Factor12,GO:0019221,0.0714711234781655,0.206005002966477
Factor12,GO:0006357,0.0792905573422446,0.222013560558285
Factor12,GO:0007169,0.0925113520006353,0.245030067461142
Factor12,GO:0007399,0.0913614820757004,0.245030067461142
Factor12,GO:0034220,0.100175619382903,0.258347649987487
Factor12,GO:0030335,0.103191564552852,0.259301880158449
Factor12,GO:0007154,0.110342530534221,0.267593573971425
Factor12,GO:0070098,0.11195241360029,0.267593573971425
Factor12,GO:1902476,0.124284887039216,0.28999806975817
Factor12,GO:0007204,0.159372697846814,0.354966463386086
Factor12,GO:0009410,0.15805217429058,0.354966463386086
Factor12,GO:0140374,0.163343509091419,0.355725864243534
Factor12,GO:0009615,0.200106473678253,0.415487376219864
Factor12,GO:0030154,0.203504021005648,0.415487376219864
Factor12,GO:0043410,0.202828773983699,0.415487376219864
Factor12,GO:0006821,0.211155473594664,0.422310947189327
Factor12,GO:0051897,0.23702486224458,0.464568729999378
Factor12,GO:0001822,0.250096681326927,0.480395490665574
Factor12,GO:0035725,0.254903729740917,0.480395490665574
Factor12,GO:0007268,0.273098214651956,0.492773376631316
Factor12,GO:0007420,0.281584786646467,0.492773376631316
Factor12,GO:0032760,0.273957664589286,0.492773376631316
Factor12,GO:0071356,0.278090052104407,0.492773376631316
Factor12,GO:0071805,0.305462105583216,0.525180462230792
Factor12,GO:0043066,0.322493369236092,0.544902589398914
Factor12,GO:0050853,0.339492075798477,0.563902092004251
Factor12,GO:0007165,0.347164111931163,0.567034716154233
Factor12,GO:0016477,0.358994091874463,0.574311526075126
