"pathway","pval","padj","log2err","ES","NES","size"
"REACTOME_DIFFERENTIATION_OF_KERATINOCYTES_IN_INTERFOLLICULAR_EPIDERMIS_IN_MAMMALIAN_SKIN",0.385026737967914,0.717846460618145,0.0870515867946735,0.45049497165738,1.08444671133594,11
"REACTOME_DISEASES_OF_PROGRAMMED_CELL_DEATH",0.391304347826087,0.72277545775779,0.0870515867946735,0.454410402380606,1.06608862033278,10
"REACTOME_METABOLISM_OF_STEROIDS",0.397526501766784,0.72277545775779,0.0847985102819124,0.421376916246926,1.06659602084872,13
"REACTOME_RHO_GTPASE_EFFECTORS",0.397236614853195,0.72277545775779,0.0835990603684159,0.391265311622179,1.05265130927185,16
"REACTOME_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_IGF_TRANSPORT_AND_UPTAKE_BY_INSULIN_LIKE_GROWTH_FACTOR_BINDING_PROTEINS_IGFBPS",0.401626016260163,0.724243635878982,0.0797705918628453,0.30987330228706,1.0478825910988,44
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX",0.415349887133183,0.742902237148782,0.096240602328129,-0.373172038676461,-1.03351687830409,15
"REACTOME_PLASMA_LIPOPROTEIN_ASSEMBLY_REMODELING_AND_CLEARANCE",0.420494699646643,0.746038983244044,0.0817515582532145,0.41186924905414,1.04253006088655,13
"REACTOME_G_ALPHA_S_SIGNALLING_EVENTS",0.439716312056738,0.76514287304193,0.0956031492204301,-0.358907240526702,-1.00306548152974,16
"REACTOME_SIGNALING_BY_EGFR",0.441696113074205,0.76514287304193,0.0791316651768349,0.40861214070736,1.03428561590582,13
"REACTOME_SIGNALING_BY_SCF_KIT",0.437641723356009,0.76514287304193,0.0934449219410994,-0.403518155529174,-1.01538075649395,11
"REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING",0.446808510638298,0.767952127659574,0.0946646223153342,-0.356071070023429,-0.99513901917308,16
"REACTOME_UNFOLDED_PROTEIN_RESPONSE_UPR",0.459893048128342,0.784313725490196,0.0774767547848578,0.425576917557766,1.02446312989484,11
"REACTOME_APOPTOTIC_CLEAVAGE_OF_CELLULAR_PROTEINS",0.468888888888889,0.787446988973707,0.0883594442500905,-0.399001728277727,-0.990882653192869,10
"REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING",0.467661691542289,0.787446988973707,0.0728938564822936,0.32403072593745,0.986764382565241,27
"REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR",0.473591549295775,0.789319248826291,0.0753093764172773,0.402023741718732,0.990737774661447,12
"REACTOME_SIGNALING_BY_PDGF",0.478060046189376,0.790776016253104,0.0894366833718621,-0.343253430025983,-0.984312587025417,17
"REACTOME_DRUG_ADME",0.48220640569395,0.791682158602008,0.0749278818393739,0.389612155280992,1.00111988025278,14
"REACTOME_DEVELOPMENTAL_LINEAGE_OF_MAMMARY_GLAND_LUMINAL_EPITHELIAL_CELLS",0.486175115207373,0.792285372930534,0.0883594442500905,-0.385153591164737,-0.990334911599423,12
"REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS",0.5,0.796066722918154,0.0891647117820678,-0.309554820568068,-0.965144133906976,22
"REACTOME_REGULATION_OF_HOMOTYPIC_CELL_CELL_ADHESION",0.496376811594203,0.796066722918154,0.0743625384422526,0.423481609710204,0.993526826558239,10
"REACTOME_RESPIRATORY_SYNCYTIAL_VIRUS_RSV_ATTACHMENT_AND_ENTRY",0.493761140819964,0.796066722918154,0.0738052724171275,0.410789906307308,0.988867336978323,11
"REACTOME_SARS_COV_2_HOST_INTERACTIONS",0.51056338028169,0.796066722918154,0.0714786287425507,0.390073875299995,0.961288807263188,12
"REACTOME_SIGNALING_BY_ERBB4",0.506238859180036,0.796066722918154,0.0725351864394589,0.406201475003884,0.97782191016949,11
"REACTOME_TRANSCRIPTIONAL_REGULATION_BY_RUNX2",0.513824884792627,0.796066722918154,0.0852884689790502,-0.376800584636331,-0.968857054007903,12
"REACTOME_TRANS_GOLGI_NETWORK_VESICLE_BUDDING",0.508021390374332,0.796066722918154,0.0723570851036907,0.404841130437811,0.974547242784115,11
"REACTOME_PHOSPHOLIPID_METABOLISM",0.518716577540107,0.798025503907857,0.0713052987340038,0.400579775493325,0.964289165233589,11
"REACTOME_MAPK_FAMILY_SIGNALING_CASCADES",0.528301886792453,0.798655983458258,0.0925528864684773,-0.24885657059949,-0.967939693154255,59
"REACTOME_RAC1_GTPASE_CYCLE",0.529832935560859,0.798655983458258,0.0855356947987884,-0.320982472341618,-0.954148446545764,19
"REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY",0.530017152658662,0.798655983458258,0.0683110858318647,0.341224767762557,0.944766058493952,19
"REACTOME_DISEASES_OF_METABOLISM",0.535143769968051,0.800895438047423,0.0643583367917361,0.2696776841753,0.952484788757191,55
"REACTOME_POTENTIAL_THERAPEUTICS_FOR_SARS",0.53886925795053,0.801021869926464,0.0689567351672811,0.376598228970639,0.953251488136514,13
"REACTOME_SARS_COV_2_ACTIVATES_MODULATES_INNATE_AND_ADAPTIVE_IMMUNE_RESPONSES",0.547237076648841,0.808001052770101,0.0686325631836726,0.393286909024493,0.94673353075172,11
"REACTOME_APOPTOSIS",0.565789473684211,0.825340737001514,0.0630790410571939,0.298838169423465,0.922247342935678,29
"REACTOME_DEVELOPMENTAL_LINEAGES_OF_THE_MAMMARY_GLAND",0.572769953051643,0.825340737001514,0.080419996876154,-0.308752395075071,-0.905182038453583,18
"REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION",0.57773851590106,0.825340737001514,0.0655321029282414,0.363088835436139,0.919056294160742,13
"REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM",0.577540106951872,0.825340737001514,0.065981614400873,0.38704810320108,0.931715266656624,11
"REACTOME_SIGNALING_BY_NOTCH",0.568259385665529,0.825340737001514,0.0646484568421928,0.319824611479427,0.921677181795248,22
"REACTOME_SIGNALING_BY_NTRKS",0.587219343696028,0.833472616858878,0.0636424081651019,0.335937523502359,0.903798684534995,16
"REACTOME_SIGNALING_BY_PTK6",0.600907029478458,0.847432990290133,0.0760837160951725,-0.35954460762605,-0.904729243733529,11
"REACTOME_INTERLEUKIN_6_FAMILY_SIGNALING",0.608695652173913,0.850053329576784,0.0642140881844605,0.3823068530421,0.896927058377599,10
"REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION",0.610492845786963,0.850053329576784,0.0578529757032509,0.264647168398342,0.917192247885135,49
"REACTOME_RAC2_GTPASE_CYCLE",0.622119815668203,0.860794713503173,0.0751181635276301,-0.345416065620604,-0.888158897277655,12
"REACTOME_DENGUE_VIRUS_ATTACHMENT_AND_ENTRY",0.635578583765112,0.873920552677029,0.0598603117764473,0.321281919203765,0.864369579539401,16
"REACTOME_FCGAMMA_RECEPTOR_FCGR_DEPENDENT_PHAGOCYTOSIS",0.646739130434783,0.879549670568669,0.0613026075396207,0.365007955245104,0.856342252244067,10
"REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS",0.647668393782383,0.879549670568669,0.0589694466690997,0.319106609544145,0.858517175829557,16
"REACTOME_RHOA_GTPASE_CYCLE",0.653333333333333,0.881799591002045,0.0707899094502623,-0.343983648179965,-0.854250510229061,10
"REACTOME_ER_TO_GOLGI_ANTEROGRADE_TRANSPORT",0.663732394366197,0.884976525821596,0.0587185879555941,0.347944014023057,0.857464976287773,12
