"OlinkID","t","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version","ENTREZID"
"OID20166",2.30489910308695,"GSTA1","P08263",0.04,1.1215,"CARDIOMETABOLIC",1,"2938"
"OID20200",-3.67848633709236,"FABP2","P12104",0.05,0.8544,"CARDIOMETABOLIC",1,"2169"
"OID20262",-3.04749161630762,"CD209","Q9NNX6",0.03,0.2253,"CARDIOMETABOLIC",1,"30835"
"OID20259",-2.8235247181799,"XG","P55808",0.04,0.2096,"CARDIOMETABOLIC",1,"7499"
"OID20320",-2.82323552136852,"QPCT","Q16769",0.04,0.5296,"CARDIOMETABOLIC",1,"25797"
"OID20270",-2.61821496070454,"ESAM","Q96AP7",0.03,-0.4769,"CARDIOMETABOLIC",1,"90952"
"OID20280",3.05483816005666,"CPA1","P15085",0.04,0.248,"CARDIOMETABOLIC",1,"1357"
"OID20222",-0.362125854147592,"NECTIN2","Q92692",0.03,1.0399,"CARDIOMETABOLIC",1,"5819"
"OID20335",-2.57714141376307,"COL1A1","P02452",0.03,-0.262,"CARDIOMETABOLIC",1,"1277"
"OID20224",-9.9808413869142,"ROR1","Q01973",0.44,0.5722,"CARDIOMETABOLIC",1,"4919"
"OID20322",2.49668992541855,"SPP1","P10451",0.03,0.8134,"CARDIOMETABOLIC",1,"6696"
"OID20189",-5.60555997699071,"ADGRG2","Q8IZP9",0.03,1.0196,"CARDIOMETABOLIC",1,"10149"
"OID20232",2.06942072125726,"KYAT1","Q16773",0.04,1.6659,"CARDIOMETABOLIC",1,"883"
"OID20188",-3.69658876531886,"LPL","P06858",0.03,1.4088,"CARDIOMETABOLIC",1,"4023"
"OID20163",-0.243260425492009,"PDCD6","O75340",0.04,0.9313,"CARDIOMETABOLIC",1,"10016"
"OID20051",0.451275877297053,"HNRNPK","P61978",0.76,1,"CARDIOMETABOLIC",1,"3190"
"OID20127",0.184460529364545,"CNST","Q6PJW8",0.25,0.602,"CARDIOMETABOLIC",1,"163882"
"OID20131",0.0403932792602856,"VSIR","Q9H7M9",0.18,0.7607,"CARDIOMETABOLIC",1,"64115"
"OID20118",3.68881415536919,"CLTA","P09496",0.48,0.5684,"CARDIOMETABOLIC",1,"1211"
"OID20066",-0.346224513110461,"GRK5","P34947",0.84,0.7321,"CARDIOMETABOLIC",1,"2869"
"OID20053",2.15713298237557,"VIM","P08670",0.86,1.9438,"CARDIOMETABOLIC",1,"7431"
"OID20119",2.42116146810857,"EPHX2","P34913",0.71,0.5819,"CARDIOMETABOLIC",1,"2053"
"OID20049",-4.94395633130477,"NPPB","P16860",0.55,1.9691,"CARDIOMETABOLIC",1,"4879"
"OID20309",0.427805926961514,"AZU1","P20160",0.54,2.3483,"CARDIOMETABOLIC",1,"566"
"OID20121",2.13408605469894,"CCL27","Q9Y4X3",0.04,0.4394,"CARDIOMETABOLIC",1,"10850"
"OID20058",0.0146453475308588,"TCL1B","O95988",0.97,1.0711,"CARDIOMETABOLIC",1,"9623"
"OID20256",4.38928001095199,"VWF","P04275",0.03,-0.0334,"CARDIOMETABOLIC",1,"7450"
"OID20147",-2.03958693655782,"IL6ST","P40189",0.03,0.6072,"CARDIOMETABOLIC",1,"3572"
"OID20238",-4.78258875775709,"PLTP","P55058",0.03,0.1195,"CARDIOMETABOLIC",1,"5360"
"OID20160",0.492246580710935,"PLXNB3","Q9ULL4",0.04,0.0812,"CARDIOMETABOLIC",1,"5365"
"OID20061",0.844254115385098,"CTF1","Q16619",0.91,1.139,"CARDIOMETABOLIC",1,"1489"
"OID20151",1.63846670117083,"FADD","Q13158",0.16,0.7422,"CARDIOMETABOLIC",1,"8772"
"OID20235",5.88677075095991,"PCSK9","Q8NBP7",0.03,0.059,"CARDIOMETABOLIC",1,"255738"
"OID20323",4.31081804837031,"LILRB1","Q8NHL6",0.03,-0.1878,"CARDIOMETABOLIC",1,"10859"
"OID20417",2.04728786219399,"TGFBI","Q15582",0.03,0.1826,"CARDIOMETABOLIC",1,"7045"
"OID20305",1.56666413605225,"CASP3","P42574",0.04,0.212,"CARDIOMETABOLIC",1,"836"
"OID20284",0.134336265680177,"LGALS3","P17931",0.04,0.7865,"CARDIOMETABOLIC",1,"3958"
"OID20393",-6.78810122664778,"CR2","P20023",0.03,-0.4762,"CARDIOMETABOLIC",1,"1380"
"OID20278",-1.087452596383,"DPT","Q07507",0.03,-0.139,"CARDIOMETABOLIC",1,"1805"
"OID20078",0.383642740038209,"TSPAN1","O60635",0.81,0.602,"CARDIOMETABOLIC",1,"10103"
"OID20366",-3.10138868936561,"CHL1","O00533",0.03,-0.1984,"CARDIOMETABOLIC",1,"10752"
"OID20052",1.32640208600737,"CEBPB","P17676",0.8,0.6993,"CARDIOMETABOLIC",1,"1051"
"OID20252",1.04659423701698,"PLA2G1B","P04054",0.04,0.5512,"CARDIOMETABOLIC",1,"5319"
"OID20140",0.780962097670831,"STK4","Q13043",0.7,0.6112,"CARDIOMETABOLIC",1,"6789"
"OID20285",1.28773143350012,"MEGF9","Q9H1U4",0.03,-0.108,"CARDIOMETABOLIC",1,"1955"
"OID20132",0.207620518176293,"PCDH17","O14917",0.06,0.5772,"CARDIOMETABOLIC",1,"27253"
"OID20348",1.81459224528111,"IL18BP","O95998",0.03,-0.141,"CARDIOMETABOLIC",1,"10068"
"OID20209",4.81516262163736,"LILRA5","A6NI73",0.03,0.2403,"CARDIOMETABOLIC",1,"353514"
"OID20291",-0.775332083159949,"PAM","P19021",0.04,-0.5273,"CARDIOMETABOLIC",1,"5066"
"OID20318",2.02080970584264,"GAS6","Q14393",0.03,0.2802,"CARDIOMETABOLIC",1,"2621"
"OID20156",2.41544033444227,"MNDA","P41218",0.04,0.2089,"CARDIOMETABOLIC",1,"4332"
"OID20240",2.41414361692199,"LDLR","P01130",0.03,-0.5547,"CARDIOMETABOLIC",1,"3949"
"OID20269",3.10919101468471,"MET","P08581",0.03,-0.3294,"CARDIOMETABOLIC",1,"4233"
"OID20184",0.831168446861895,"DIABLO","Q9NR28",0.44,1.0795,"CARDIOMETABOLIC",1,"56616"
"OID20190",-0.34383637143144,"SIGLEC7","Q9Y286",0.04,0.1594,"CARDIOMETABOLIC",1,"27036"
"OID20123",-0.377788949923887,"ANXA4","P09525",0.59,0.4576,"CARDIOMETABOLIC",1,"307"
"OID20126",-7.13820097785552,"CLC","Q05315",0.29,0.5631,"CARDIOMETABOLIC",1,"1178"
"OID20245",-0.643243985004844,"FABP4","P15090",0.03,-0.4861,"CARDIOMETABOLIC",1,"2167"
"OID20337",-0.00162527581006926,"PRCP","P42785",0.04,0.5427,"CARDIOMETABOLIC",1,"5547"
"OID20226",-2.70777114895104,"CCDC80","Q76M96",0.04,1.6126,"CARDIOMETABOLIC",1,"151887"
"OID20092",3.5587775455795,"MPHOSPH8","Q99549",0.82,1.1574,"CARDIOMETABOLIC",1,"54737"
"OID20331",1.45799594964365,"PPIB","P23284",0.21,0.1962,"CARDIOMETABOLIC",1,"5479"
"OID20214",-3.48767313512415,"SFTPD","P35247",0.07,1.6712,"CARDIOMETABOLIC",1,"6441"
"OID20316",-4.31623322139539,"FAS","P25445",0.03,0.6277,"CARDIOMETABOLIC",1,"355"
"OID20161",-4.42897863326231,"TYRO3","Q06418",0.03,0.673,"CARDIOMETABOLIC",1,"7301"
"OID20087",-2.8899867136056,"MMP7","P09237",0.43,1.2151,"CARDIOMETABOLIC",1,"4316"
"OID20064",-3.21440818438548,"SERPINB5","P36952",0.98,1.0748,"CARDIOMETABOLIC",1,"5268"
"OID20164",-0.498354991674163,"APLP1","P51693",0.13,0.3828,"CARDIOMETABOLIC",1,"333"
"OID20191",-0.865613590903516,"NPTXR","O95502",0.04,0.3755,"CARDIOMETABOLIC",1,"23467"
"OID20295",-4.34633793296436,"DLK1","P80370",0.03,-0.1999,"CARDIOMETABOLIC",1,"8788"
