"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant","Assay","UniProt","Panel","ENTREZID"
"OID20946",-0.56384691046658,1.8845681462141,-8.69786012907057,9.90426327566955e-17,3.21663459566631e-15,27.2136378284587,"Down",TRUE,"FLRT2","O43155","NEUROLOGY","23768"
"OID20126",-0.723633972257247,0.840514882506527,-8.63302936165,1.59838189156217e-16,5.07575049564966e-15,26.7430107709212,"Down",TRUE,"CLC","Q05315","CARDIOMETABOLIC","1178"
"OID20334",-1.22173729298024,5.08809399477807,-8.54701051352504,2.99590411776859e-16,9.3068412701985e-15,26.1252424554924,"Down",TRUE,"CCL16","O15467","CARDIOMETABOLIC","6360"
"OID20994",-0.759845876418658,1.67551618798956,-8.52335376779355,3.5583783686458e-16,1.08189844442444e-14,25.9560807275076,"Down",TRUE,"BMP4","P12644","NEUROLOGY","652"
"OID20746",-0.615723312316098,4.91078485639687,-8.37101850505051,1.06691301387453e-15,3.1762889517223e-14,24.8766906980745,"Down",TRUE,"MEGF10","Q96KG7","INFLAMMATION","84466"
"OID20653",-0.910545140815465,4.76473968668407,-8.28528515183678,1.97510128830309e-15,5.76004028772473e-14,24.271667242139,"Down",TRUE,"TNFRSF4","P43489","INFLAMMATION","7293"
"OID20772",-1.41032061790667,5.01057180156658,-8.2607624901256,2.35213016479328e-15,6.7223880109792e-14,24.1000380737628,"Down",TRUE,"CCL24","O00175","INFLAMMATION","6369"
"OID20343",-0.448563854560738,0.693620626631854,-8.25769875245774,2.4000654853268e-15,6.72488936967057e-14,24.0801504721053,"Down",FALSE,"MCAM","P43121","CARDIOMETABOLIC","4162"
"OID20173",-0.587470840689363,3.41194125326371,-8.2127605660059,3.30062974720512e-15,9.07038443991561e-14,23.7671490865093,"Down",TRUE,"GPNMB","Q14956","CARDIOMETABOLIC","10457"
"OID20255",-0.717537179487176,3.74623028720627,-8.19065443371906,3.86475655377609e-15,1.04202587082001e-13,23.6122243436348,"Down",TRUE,"TGFBR3","Q03167","CARDIOMETABOLIC","7049"
"OID21458",-0.725889289617483,4.42380861618799,-8.15903328589692,4.83257173080117e-15,1.27884166728053e-13,23.3927419082879,"Down",TRUE,"NCS1","P62166","ONCOLOGY","23413"
"OID20652",0.6877618495166,6.50119033942559,8.08742784391044,7.99337157157701e-15,2.07682326832428e-13,22.8985625542277,"Up",TRUE,"IL18R1","Q13478","INFLAMMATION","8809"
"OID21117",-0.40446102984447,0.530564751958225,-8.0808427316484,8.36887347764492e-15,2.13555717849189e-13,22.8534778289566,"Down",FALSE,"CNTN4","Q8IWV2","NEUROLOGY","152330"
"OID20145",-0.622223270281628,1.79166762402089,-8.06709644984207,9.22789781522005e-15,2.31345017157008e-13,22.7576057219229,"Down",TRUE,"ICAM5","Q9UMF0","CARDIOMETABOLIC","7087"
"OID20495",2.11557223346828,2.96134162303665,8.06056826450646,9.72191916163761e-15,2.39527973827244e-13,22.7069078341323,"Up",TRUE,"IFNG","P01579","INFLAMMATION","3458"
"OID20384",-0.77912518705338,4.50405039164491,-8.04152989250404,1.10370365770993e-14,2.67320767265676e-13,22.5818585360413,"Down",TRUE,"PCOLCE","Q15113","CARDIOMETABOLIC","5118"
"OID21315",0.818912412778474,3.37169164490862,8.01356314419695,1.34204349506367e-14,3.19630025740998e-13,22.3899400982325,"Up",TRUE,"LAG3","P18627","ONCOLOGY","3902"
"OID21028",0.626326351408152,2.43186266318538,7.99610189060309,1.51385015231539e-14,3.54077884696448e-13,22.2716448929806,"Up",TRUE,"SMPD1","P17405","NEUROLOGY","6609"
"OID20690",0.744379659520804,4.36732506527415,7.99409751151107,1.53623714843805e-14,3.54077884696448e-13,22.2572688547615,"Up",TRUE,"SIGLEC1","Q9BZZ2","INFLAMMATION","6614"
"OID20211",0.662627406473305,2.13363107049608,7.96566913066193,1.87198848801624e-14,4.24614531646857e-13,22.0632657180324,"Up",TRUE,"ANGPTL1","O95841","CARDIOMETABOLIC","9068"
"OID21439",-1.1476784741488,5.62953315926893,-7.96302931737763,1.90739971643918e-14,4.25886592936186e-13,22.0448927581498,"Down",TRUE,"MMP12","P39900","ONCOLOGY","4321"
"OID20302",0.642549684741485,5.66979869451697,7.84877103896662,4.19245706693331e-14,9.21695561330416e-13,21.2720520564156,"Up",TRUE,"ST6GAL1","P15907","CARDIOMETABOLIC","6480"
"OID21517",-0.767435245901636,1.81500704960836,-7.78625020020305,6.44577111152512e-14,1.39560710884385e-12,20.8501990491804,"Down",TRUE,"KLK8","O60259","ONCOLOGY","11202"
"OID20759",-0.823711202185788,3.87662532637076,-7.76756313164114,7.32308981041088e-14,1.56189482672793e-12,20.7250445432628,"Down",TRUE,"SPON1","Q9HCB6","INFLAMMATION","10418"
"OID20306",-0.448390878520385,2.51882375979112,-7.72487790462016,9.77365518604264e-14,2.0539048913022e-12,20.441871419803,"Down",FALSE,"PTPRS","Q13332","CARDIOMETABOLIC","5802"
