"ID","Description","NES","p.adjust","EntrezID","UniProt","Protein","t"
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"91653","Q9BWV1","OID20116",-10.8593968856439
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1311","P49747","OID20405",-10.5504681525752
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"91179","Q96GP6","OID21048",-9.99407018246112
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1824","Q02487","OID21079",-9.86290148331041
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"7148","P22105","OID21107",-9.55961565114896
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"64084","Q9H4D0","OID20664",-9.40173943151263
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1004","P55285","OID20157",-8.89234806438759
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"22918","Q9NPY3","OID20397",-8.8629087059826
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"23768","O43155","OID20946",-8.69786012907057
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"652","P12644","OID20994",-8.52335376779355
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"84466","Q96KG7","OID20746",-8.37101850505051
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4162","P43121","OID20343",-8.25769875245774
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"10457","Q14956","OID20173",-8.2127605660059
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"152330","Q8IWV2","OID21117",-8.0808427316484
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"7087","Q9UMF0","OID20145",-8.06709644984207
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4321","P39900","OID21439",-7.96302931737763
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"10418","Q9HCB6","OID20759",-7.76756313164114
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"5802","Q13332","OID20306",-7.72487790462016
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"7060","P35443","OID20368",-7.64953913682972
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3685","P06756","OID21416",-7.59881747905576
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3688","P05556","OID20376",-7.58571385299735
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4856","P48745","OID20299",-7.51617467769149
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8829","O14786","OID20390",-7.3640005146002
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3695","P26010","OID21393",-7.11893297490259
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8751","Q13444","OID20109",-7.06830909308609
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"27242","O75509","OID21052",-6.98740739075159
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"6092","Q9HCK4","OID21007",-6.97622877331884
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1003","P33151","OID20243",-6.95999694935435
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"58494","P57087","OID21064",-6.95281237235602
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1830","P32926","OID21460",-6.93015039679083
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"50856","Q9UMR7","OID20573",-6.7920973519528
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"965","P19256","OID20716",-6.77498664366647
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"2191","Q12884","OID20330",-6.67803683875475
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"283659","Q2VWP7","OID21443",-6.60810795338098
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3575","P16871","OID21136",-6.59187192777301
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1293","P12111","OID20292",-6.55478753542385
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"53616","Q9P0K1","OID21001",-6.52822879066226
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"10085","O43854","OID20081",-6.50401571494271
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"22801","Q9UKX5","OID20581",-6.49608786168923
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8745","O75077","OID20651",-6.33177213123595
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"375033","Q5VY43","OID20257",-6.27449769776181
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"11126","O95971","OID20647",-6.25532913077991
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"94025","Q8WXI7","OID21378",-6.23148662083148
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"266727","Q8NFP4","OID20951",-6.21553243912832
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1272","Q12860","OID20307",-6.12369443398093
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"1001","P22223","OID21008",-6.10987101569559
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4179","P15529","OID20380",-6.04082602348119
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4340","Q16653","OID21384",-6.00725028367607
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"3556","Q9NPH3","OID21126",-5.97112288341666
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"8404","Q14515","OID20361",-5.94770072888706
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"23308","O75144","OID21351",-5.88538329805782
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"2064","P04626","OID21520",-5.86849340251866
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"4267","P14209","OID21110",-5.65364703963001
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"923","P30203","OID20649",-5.38767064795264
"GO:0007155","cell adhesion",-1.8536736504912,1.41748581057642e-06,"94","P37023","OID20999",-5.37010232052286
