"Protein","Assay","UniProt","Pathway_Count","Mean_NES","Max_abs_t","Mean_t","logFC","adj.P.Val","Regulation","Significant","Pathways"
"OID20335","COL1A1","P02452",6,-1.78747783333146,4.49682140316631,-4.49682140316631,-0.198714682639764,4.04315068221141e-05,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | blood vessel development"
"OID20734","ROBO1","Q9Y6N7",10,-1.788438584288,4.4175996724262,-4.4175996724262,-0.257707271963009,5.53876776520814e-05,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21025","CD34","P28906",10,-1.788438584288,4.31968766261698,-4.31968766261698,-0.229259285414039,8.14895585395844e-05,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21104","THBS2","P35442",9,-1.78926750022654,4.2873481361052,-4.2873481361052,-0.478953253467841,9.28921070435647e-05,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21139","ITGA5","P08648",9,-1.78926750022654,4.24486826823183,-4.24486826823183,-0.216422093316519,0.000108297515195538,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20626","BSG","P35613",10,-1.788438584288,4.24376731072008,-4.24376731072008,-0.348398293400587,0.000108514681798035,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20315","ITGB2","P05107",9,-1.78926750022654,4.14304051009773,-4.14304051009773,-0.248931420765026,0.00016062288239974,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21188","ADCYAP1R1","P41586",6,2.09921773118808,4.05003597925345,4.05003597925345,0.15617924337957,0.000231061807229341,"Up",FALSE,"small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process"
"OID20645","ADA","P00813",8,2.07573033330509,3.96406576086133,3.96406576086133,0.368232833123159,0.000310649474536538,"Up",FALSE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process"
"OID21050","THY1","P04216",10,-1.788438584288,3.94642091055303,-3.94642091055303,-0.484657288776796,0.000331034659633891,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21478","FGFR2","P21802",9,-1.78119024359875,3.88113271722818,-3.88113271722818,-0.187559092055484,0.000417012680209165,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20598","PTPRM","P28827",10,-1.788438584288,3.8020800339255,-3.8020800339255,-0.191451618327027,0.00054901257521444,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21342","EPHA2","P29317",10,-1.788438584288,3.7754203052328,-3.7754203052328,-0.446482253047497,0.000607520638256434,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20202","GDF2","Q9UK05",9,-1.78119024359875,3.77449029585196,-3.77449029585196,-0.265987343421605,0.000608236608763035,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20500","PARP1","P09874",6,2.09921773118808,3.74157321650091,3.74157321650091,0.440132828919713,0.00068274481524324,"Up",FALSE,"small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process"
"OID20905","EREG","O14944",9,-1.78119024359875,3.61796892045157,-3.61796892045157,-0.21405256830601,0.00104076464092631,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21400","SCG2","P13521",8,-1.78121673144346,3.61470431164747,-3.61470431164747,-0.360912652374946,0.00105124925271824,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21037","ENO1","P06733",8,2.07573033330509,3.57440741903417,3.57440741903417,0.400594934846572,0.00120797577557611,"Up",FALSE,"catabolic process | small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleotide metabolic process | nucleobase-containing small molecule metabolic process | nucleobase-containing compound catabolic process"
"OID21529","FOLR1","P15328",8,-1.78104690309167,3.57107711097675,-3.57107711097675,-0.354904518705336,0.00121514609666895,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20407","ANGPTL3","Q9Y5C1",9,-1.78926750022654,3.48246218760067,-3.48246218760067,-0.259909344262294,0.00164181397111145,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID21189","UXS1","Q8NBZ7",5,2.08777473456519,3.44505803604144,3.44505803604144,0.284573110550651,0.00184447864006226,"Up",FALSE,"small molecule metabolic process | organophosphate metabolic process | carbohydrate derivative metabolic process | nucleoside phosphate metabolic process | nucleobase-containing small molecule metabolic process"
"OID21125","EFNA1","P20827",10,-1.788438584288,3.40853319557729,-3.40853319557729,-0.428793093736862,0.00207619253952208,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20538","ISM1","B1AKI9",8,-1.78121673144346,3.31765953231565,-3.31765953231565,-0.307870428751575,0.00278544670366532,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20253","NOTCH3","Q9UM47",9,-1.78119024359875,3.26235344299799,-3.26235344299799,-0.260447154266498,0.00331352257678697,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20357","HYAL1","Q12794",10,-1.788438584288,3.21319813430487,-3.21319813430487,-0.135752425388819,0.00388829241810538,"Down",FALSE,"cell adhesion | anatomical structure morphogenesis | system development | vasculature development | animal organ development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
"OID20703","ANGPTL4","Q9BY76",8,-1.78121673144346,3.11600484467924,-3.11600484467924,-0.425728394283311,0.00525374369076362,"Down",FALSE,"anatomical structure morphogenesis | system development | vasculature development | circulatory system development | angiogenesis | blood vessel morphogenesis | blood vessel development | anatomical structure formation involved in morphogenesis"
