"OlinkID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Assay","UniProt","MissingFreq","LOD","Panel","Panel_Version"
"OID21052",-0.611835418242958,4.71719634464752,-7.00254784996871,1.12891617056504e-11,1.73464645993274e-10,15.7907291540751,"TNFRSF21","O75509",0.03,1.9004,"NEUROLOGY",1
"OID21195",0.278881105506515,2.19747650130548,6.97282629043136,1.36108334456931e-11,2.06913627594632e-10,15.60787769819,"CA11","O75493",0.03,0.2322,"ONCOLOGY",1
"OID20243",-0.361414573350145,1.75368302872063,-6.97008201458775,1.38486228938312e-11,2.08312443318787e-10,15.5909504228006,"CDH5","P33151",0.03,-0.077,"CARDIOMETABOLIC",1
"OID21064",-0.792459617486336,4.79624569190601,-6.95828054643363,1.49314373279723e-11,2.22260666059088e-10,15.5174268585302,"JAM2","P57087",0.04,1.7016,"NEUROLOGY",1
"OID20378",0.691621122320302,7.14910339425587,6.95537082643202,1.52077171891343e-11,2.24039462507969e-10,15.4995095169831,"CD14","P08571",0.03,0.8707,"CARDIOMETABOLIC",1
"OID21007",-0.323411366120217,0.844586422976501,-6.95042885967286,1.56751098328526e-11,2.28568693379044e-10,15.4698764790263,"ROBO2","Q9HCK4",0.04,0.0202,"NEUROLOGY",1
"OID21322",0.534867166876838,2.57959373368146,6.94581723794202,1.61506494917732e-11,2.33124021451959e-10,15.4407217179162,"ST3GAL1","Q11201",0.04,-0.0055,"ONCOLOGY",1
"OID21460",-0.636735372005042,4.11321227154047,-6.94174289392272,1.65700540332298e-11,2.36786072134854e-10,15.4156693928755,"DSG3","P32926",0.03,0.2946,"ONCOLOGY",1
"OID20049",-1.77180200084068,2.35784778067885,-6.90528589299773,2.08321664497625e-11,2.94744216403075e-10,15.1920107934233,"NPPB","P16860",0.55,1.9691,"CARDIOMETABOLIC",1
"OID21130",-0.610449348465739,0.645836031331593,-6.90157465596813,2.13222210517387e-11,2.98720136107202e-10,15.1692942233531,"CD300LG","Q6UXG3",0.55,0.6276,"NEUROLOGY",1
"OID20401",-0.603434316939888,6.55429164490862,-6.89583832858128,2.21020546689834e-11,3.06639185650265e-10,15.1342007250424,"CCL14","Q16627",0.03,0.9744,"CARDIOMETABOLIC",1
"OID20904",0.929726620428751,3.33567127937337,6.87706467544416,2.48554229267974e-11,3.41523070792245e-10,15.019506856695,"MAD1L1","Q9Y6D9",0.03,0.5186,"NEUROLOGY",1
"OID21494",0.665397713324925,4.54685770234987,6.82560235962715,3.42500122577048e-11,4.66126357297715e-10,14.7063598014256,"NELL1","Q92832",0.03,0.4773,"ONCOLOGY",1
"OID20716",-0.413571235813365,5.39295091383812,-6.81961828676014,3.55253321261885e-11,4.78921694418144e-10,14.6706201602991,"CD58","P19256",0.03,0.3583,"INFLAMMATION",1
"OID20573",-0.502781715006305,2.12196631853786,-6.79979233813607,4.01938265448126e-11,5.36794188154553e-10,14.5500859561525,"CLEC4A","Q9UMR7",0.06,1.1151,"INFLAMMATION",1
"OID20238",-0.566313778898694,2.85644725848564,-6.78134672088577,4.5058621185411e-11,5.96192311795855e-10,14.4385379751233,"PLTP","P55058",0.03,0.1195,"CARDIOMETABOLIC",1
"OID20096",0.767090689365277,2.40250574412533,6.77074135675262,4.81101855468187e-11,6.30728946297284e-10,14.3745605306566,"GZMH","P20718",0.05,0.6228,"CARDIOMETABOLIC",1
"OID21421",0.757183732660781,4.63275613577023,6.69208375569575,7.8031554909176e-11,1.01370083604739e-09,13.9025156701327,"VWA1","Q6PCB0",0.03,0.656,"ONCOLOGY",1
"OID21154",-1.16988587221521,2.28006892950392,-6.68141476116351,8.32946246926636e-11,1.06806261500901e-09,13.8388234967876,"TFF1","P04155",0.16,1.0844,"NEUROLOGY",1
"OID20989",0.613146729718369,5.10659791122715,6.68059918273423,8.37109957179911e-11,1.06806261500901e-09,13.8339579305254,"PSME2","Q9UL46",0.03,0.0953,"NEUROLOGY",1
"OID20696",-0.503603858764184,3.32290391644909,-6.65275883438846,9.92168021011408e-11,1.25469743542062e-09,13.6681502675139,"IL10RB","Q08334",0.04,0.2499,"INFLAMMATION",1
"OID21443",-0.385056191677174,3.29118563968668,-6.64430635782054,1.04395004513378e-10,1.30503766927351e-09,13.6184776489724,"PRTG","Q2VWP7",0.04,0.2827,"ONCOLOGY",1
"OID20330",-0.330820592686002,0.452741253263708,-6.64330121330111,1.05024025168967e-10,1.30503766927351e-09,13.6126098282874,"FAP","Q12884",0.05,-0.3136,"CARDIOMETABOLIC",1
"OID21138",0.590652610340478,1.79995535248042,6.63778619673705,1.08687757925635e-10,1.33892074203217e-09,13.5792051583897,"ARSA","P15289",0.05,0.5933,"NEUROLOGY",1
"OID21136",-0.584708717948714,4.03881906005222,-6.60426325675575,1.33225905878676e-10,1.62717794444981e-09,13.380638566933,"IL7R","P16871",0.04,1.3055,"NEUROLOGY",1
"OID20292",-1.05250037831021,5.56261618798956,-6.5541236261409,1.80379626065777e-10,2.18442784447454e-09,13.0851394824609,"COL6A3","P12111",0.03,0.2756,"CARDIOMETABOLIC",1
"OID21419",-0.896855388818829,3.52632349869452,-6.53387349828656,2.03761264835181e-10,2.4455987240572e-09,12.9663040589919,"CLMP","Q9H6B4",0.04,0.4306,"ONCOLOGY",1
"OID21291",-0.740561702395963,3.56906919060052,-6.53203093005782,2.06030713917159e-10,2.4455987240572e-09,12.9555057470139,"KLK13","Q9UKR3",0.03,1.0197,"ONCOLOGY",1
"OID21001",-0.717337696511137,3.04702375979112,-6.53118566179357,2.07080087901275e-10,2.4455987240572e-09,12.9505528936423,"ADAM22","Q9P0K1",0.04,1.3512,"NEUROLOGY",1
"OID20416",0.537108528793609,3.02330939947781,6.520352841703,2.21001737486082e-10,2.5886187120296e-09,12.8871232883749,"GGH","Q92820",0.99,5.2835,"CARDIOMETABOLIC",1
"OID20081",-0.451770836485917,2.3188911227154,-6.51712742438844,2.25271170496907e-10,2.61717481821204e-09,12.8684557665249,"EDIL3","O43854",0.04,1.1801,"CARDIOMETABOLIC",1
"OID21364",-0.632875889029003,0.627720365535248,-6.50386185869531,2.43974239085846e-10,2.81160635204576e-09,12.7907250397008,"TMPRSS15","P98073",0.64,0.6003,"ONCOLOGY",1
"OID20581",-0.537908860865909,1.75866736292428,-6.49476982959601,2.57624683957953e-10,2.94516538700732e-09,12.737661040857,"ITGA11","Q9UKX5",0.13,0.3969,"INFLAMMATION",1
"OID21349",-0.531352648171499,1.41919477806789,-6.43040280455776,3.78139107775748e-10,4.28857765882177e-09,12.3636983604057,"DTX3","Q8N9I9",0.04,0.3359,"ONCOLOGY",1
"OID21483",-0.3416331778058,-0.00304621409921671,-6.4154438541455,4.12976831974635e-10,4.64680230623428e-09,12.2777964150154,"CD1C","P29017",0.06,-0.7671,"ONCOLOGY",1
"OID20660",0.638470546448084,3.8357592689295,6.39778510550309,4.58801218909895e-10,5.12208548298624e-09,12.1753384473683,"CTSO","P43234",0.04,0.3212,"INFLAMMATION",1
"OID20189",-0.43347194619588,3.0251864229765,-6.39521906953646,4.65701886390018e-10,5.15882167171578e-09,12.1607796745515,"ADGRG2","Q8IZP9",0.03,1.0196,"CARDIOMETABOLIC",1
"OID20533",0.850222433795711,4.4393046997389,6.38688739845426,4.8933646599764e-10,5.37893699931252e-09,12.1125787279024,"TRIM21","P19474",0.03,0.9366,"INFLAMMATION",1
"OID21274",-0.470051282051279,1.04742845953003,-6.38430943615148,4.96801912324559e-10,5.41931246344882e-09,12.0978253803047,"IGF1R","P08069",0.03,-0.7789,"ONCOLOGY",1
"OID21391",-1.27318466162253,4.15744595300261,-6.36351387159062,5.61697941256498e-10,6.08080574284497e-09,11.9782623075049,"KLK4","Q9Y5K2",0.03,0.5592,"ONCOLOGY",1
"OID20113",0.665054010088272,3.29710835509138,6.36044067024052,5.71959778009373e-10,6.10169855367419e-09,11.9606316938099,"CTSH","P09668",0.15,2.437,"CARDIOMETABOLIC",1
"OID20363",-0.438369604875996,2.86633107049608,-6.36034438671557,5.72167674032429e-10,6.10169855367419e-09,11.9602634602451,"AXL","P30530",0.03,-0.1602,"CARDIOMETABOLIC",1
"OID20651",-0.566942660781839,3.94224516971279,-6.34298489809369,6.33826171836176e-10,6.70916740410293e-09,11.8606205539834,"ADAM23","O75077",0.04,0.2944,"INFLAMMATION",1
"OID20692",0.451113518284993,4.52108798955614,6.33374967300435,6.69063580353839e-10,7.03008717886497e-09,11.8079302551946,"CD48","P09326",0.04,0.343,"INFLAMMATION",1
"OID20969",0.576378894493484,6.02230522193211,6.31223116126637,7.59147959238846e-10,7.91841192519935e-09,11.6849615973529,"PSME1","Q06323",0.03,1.0394,"NEUROLOGY",1
"OID21372",-0.789992131147538,2.18479399477807,-6.3051476703168,7.91284714658742e-10,8.19381055976335e-09,11.6446002459454,"FAM3B","P58499",0.17,1.2277,"ONCOLOGY",1
"OID20599",0.561790323665404,3.24314281984334,6.27125043886804,9.64461758931764e-10,9.91522196772296e-09,11.4519651488862,"CD70","P32970",0.04,1.4367,"INFLAMMATION",1
"OID20316",-0.518829306431271,6.01245613577024,-6.25672765156474,1.0495447841786e-09,1.05991864376067e-08,11.3696917576437,"FAS","P25445",0.03,0.6277,"CARDIOMETABOLIC",1
"OID20647",-0.86740379571248,4.73298224543081,-6.25634599718909,1.05187703961782e-09,1.05991864376067e-08,11.3675317316579,"CD160","O95971",0.03,0.7001,"INFLAMMATION",1
"OID20257",-0.234789003783101,1.07893472584856,-6.25602257446188,1.05324315895042e-09,1.05991864376067e-08,11.3662263685602,"PEAR1","Q5VY43",0.03,-0.4318,"CARDIOMETABOLIC",1
