"PC","Variance_Explained"
"PC216",0.0629427335271483
"PC217",0.0625987252289911
"PC218",0.0621604757165647
"PC219",0.0619150947036408
"PC220",0.0614759954850708
"PC221",0.0610585214977213
"PC222",0.0607274417356951
"PC223",0.0602098602165431
"PC224",0.0598840009707338
"PC225",0.059346234541976
"PC226",0.0592947998285216
"PC227",0.0591766388959806
"PC228",0.0583572378075171
"PC229",0.0578564444747736
"PC230",0.0573581005627791
"PC231",0.0570027935350912
"PC232",0.0566711522909578
"PC233",0.0564964594883868
"PC234",0.0561605123685513
"PC235",0.055761159465022
"PC236",0.0553178171703509
"PC237",0.0549364085249546
"PC238",0.0547844151974609
"PC239",0.0545918298733245
"PC240",0.0540656600872769
"PC241",0.0539818816271951
"PC242",0.0537372371291976
"PC243",0.0532855198547501
"PC244",0.052999339690556
"PC245",0.0522643642798633
"PC246",0.0521341367197984
"PC247",0.0517555108097321
"PC248",0.0515565263119989
"PC249",0.0514537549200029
"PC250",0.0508881281584574
"PC251",0.0508250617868517
"PC252",0.0505374345127754
"PC253",0.0501937445226585
"PC254",0.0499096889621902
"PC255",0.0493908879152537
"PC256",0.0491469565035749
"PC257",0.0487505045923714
"PC258",0.0483895020325341
"PC259",0.0482480095817294
"PC260",0.047785605245159
"PC261",0.0474040587656825
"PC262",0.0472106571404944
"PC263",0.0469501619548951
"PC264",0.0468622596566876
"PC265",0.0465011000187317
"PC266",0.0464073433069651
"PC267",0.0459080666367092
"PC268",0.0456843466776654
"PC269",0.0456316520737979
"PC270",0.0453223066478587
"PC271",0.045172339489486
"PC272",0.0450163569597177
"PC273",0.0448774019484016
"PC274",0.0444840622500847
"PC275",0.0442209812375893
"PC276",0.0438103618137489
"PC277",0.043638225044596
"PC278",0.0433009738942612
"PC279",0.0431444523393152
"PC280",0.0429232876310171
"PC281",0.0427537970909544
"PC282",0.0423621413159481
"PC283",0.0420626889444292
"PC284",0.0419900355247687
"PC285",0.0418752504001014
"PC286",0.0416832144626965
"PC287",0.0413191314602538
"PC288",0.0410977730554526
"PC289",0.0408081623016579
"PC290",0.0405840777381337
"PC291",0.0399416361330147
"PC292",0.0396853002219688
"PC293",0.0395230257023259
"PC294",0.0394550615718005
"PC295",0.0392494653341453
"PC296",0.0390159101172144
"PC297",0.0387420586442979
"PC298",0.0384085060059655
"PC299",0.0382195989750547
"PC300",0.0380151025229579
"PC301",0.0379344337726843
"PC302",0.03772371743618
"PC303",0.0375604979683544
"PC304",0.0373093813976926
"PC305",0.0372053411232835
"PC306",0.0369085047891354
"PC307",0.0368644121060555
"PC308",0.0365275499828263
"PC309",0.0363464635683652
"PC310",0.0360514284302767
"PC311",0.0359662299874177
"PC312",0.0357257106953251
"PC313",0.035551202502818
"PC314",0.0353104674578759
"PC315",0.0351538361141925
"PC316",0.0346515290916897
"PC317",0.0344952317156123
"PC318",0.034421466199953
"PC319",0.0340862861915445
"PC320",0.0339868924296078
"PC321",0.0336438177059378
"PC322",0.0334784730716743
"PC323",0.0334057695085815
"PC324",0.0332554469938226
"PC325",0.0330332194007357
"PC326",0.0327550996487783
"PC327",0.0325749041221268
"PC328",0.0323604020851987
"PC329",0.0322391418341961
"PC330",0.0319079873491982
"PC331",0.0317710499108105
"PC332",0.0315760708265361
"PC333",0.0312901520466903
"PC334",0.0312270789015178
"PC335",0.0310740443561406
"PC336",0.0309546167963841
"PC337",0.0306666652402957
"PC338",0.0302887851060234
"PC339",0.0302352568989926
"PC340",0.0299923468067496
"PC341",0.029873808179921
"PC342",0.0298011850619199
"PC343",0.0296610835474105
"PC344",0.0294269243447265
"PC345",0.0293496931668556
"PC346",0.0292069671798648
"PC347",0.0290368608063794
"PC348",0.028987938225422
"PC349",0.028803524582173
"PC350",0.0286525381619356
"PC351",0.028429687494111
"PC352",0.0281915271749637
"PC353",0.0281363008859992
"PC354",0.0279965848669232
"PC355",0.0277003568808093
"PC356",0.0276326289106757
"PC357",0.0274752912915633
"PC358",0.0272738491462596
"PC359",0.0271553483304785
"PC360",0.0270347640167534
"PC361",0.0270024413121273
"PC362",0.02666022932159
"PC363",0.0264496018386856
"PC364",0.0263181788013509
"PC365",0.0261291717506147
"PC366",0.0259173996569967
"PC367",0.0258824373242856
"PC368",0.025781233461389
"PC369",0.025674299252168
"PC370",0.0254938950361598
"PC371",0.0251258354172353
"PC372",0.0251040450525027
"PC373",0.0249531803087028
"PC374",0.0248767823779389
"PC375",0.0247630079892362
"PC376",0.0246233004524452
"PC377",0.0244367080427022
"PC378",0.0243468080307205
"PC379",0.0242658591324493
"PC380",0.0241498379541134
"PC381",0.0239419604357663
"PC382",0.023788179655499
"PC383",0.0236949118360165
"PC384",0.0235215927883737
"PC385",0.0233895629393863
"PC386",0.0232664271307422
"PC387",0.0231179213782962
"PC388",0.0229514417802577
"PC389",0.0228001012323451
"PC390",0.0227513539086006
"PC391",0.0224708527077174
"PC392",0.0223390784210347
"PC393",0.0222015252934522
"PC394",0.0221172483470984
"PC395",0.0219472509419889
"PC396",0.0217803644386791
"PC397",0.02162735179719
"PC398",0.021516465459613
"PC399",0.0214779193272986
"PC400",0.021245283128199
"PC401",0.0211813235671482
"PC402",0.0210923140994475
"PC403",0.0209813140104829
"PC404",0.0208683765091808
"PC405",0.0207670670796085
"PC406",0.020644529403019
"PC407",0.0204500995434435
"PC408",0.0202559210726379
"PC409",0.0201494103675146
"PC410",0.0200921156412719
"PC411",0.0199141450955587
"PC412",0.0198551705074189
"PC413",0.0196645635872995
"PC414",0.019504019843979
"PC415",0.0193036430690133
"PC416",0.0191755199612472
"PC417",0.0191602307674721
"PC418",0.0189544765350037
"PC419",0.0188921330462494
"PC420",0.0186854553275806
"PC421",0.018593096127152
"PC422",0.0184849019145647
"PC423",0.0184150332324826
"PC424",0.0182731472840099
"PC425",0.018222293614133
"PC426",0.0181445824213567
"PC427",0.0180936200819413
"PC428",0.0179639586469304
"PC429",0.0178778732895342
"PC430",0.0178445358542294
"PC431",0.0176694382953838
"PC432",0.0176297743861216
"PC433",0.0175557726480902
"PC434",0.0174574577957263
"PC435",0.0173710705470472
"PC436",0.0172350906133054
"PC437",0.0171007659698315
"PC438",0.0169859153299104
"PC439",0.0168654983465174
"PC440",0.0168152448865666
"PC441",0.0166130878232243
"PC442",0.0165549331618256
"PC443",0.0164594064900195
"PC444",0.0164041883095301
"PC445",0.0163522952502262
"PC446",0.0161511600602588
"PC447",0.0160724195585277
"PC448",0.0159465445188979
"PC449",0.0158677023494547
"PC450",0.0157693637433059
"PC451",0.01574820903239
"PC452",0.0156175325963491
"PC453",0.0155330762750452
"PC454",0.0153675857562887
"PC455",0.0152660379501875
"PC456",0.0150988977087805
"PC457",0.0150306133950219
"PC458",0.0148484059718335
"PC459",0.0148244343037145
"PC460",0.0146594130271063
"PC461",0.0146154564367829
"PC462",0.0145441803184988
"PC463",0.0144127878267216
"PC464",0.0143683949420339
"PC465",0.0142275999603615
"PC466",0.0141554577502907
"PC467",0.0140560457901744
"PC468",0.0139820108255158
"PC469",0.01386655143028
"PC470",0.0138348995601682
"PC471",0.0137827406373562
"PC472",0.0137227197541177
"PC473",0.0135749941485173
"PC474",0.0135520178783387
"PC475",0.0134849457308154
"PC476",0.0133786601202184
"PC477",0.0132190011823517
"PC478",0.0131859043391905
"PC479",0.0131027122664729
"PC480",0.0130479076266651
"PC481",0.0129630694481287
"PC482",0.0128845295229192
"PC483",0.0128638044872121
"PC484",0.0128147535226881
"PC485",0.0126768782360492
"PC486",0.0125149771450482
"PC487",0.0124125039429098
"PC488",0.0123942747781769
"PC489",0.0123403795223114
"PC490",0.0122856219838655
"PC491",0.0122193401578926
"PC492",0.0121233612073447
"PC493",0.0120984110301491
"PC494",0.0120685345505585
"PC495",0.0119485140890604
"PC496",0.0119038476972421
"PC497",0.0118219994892926
"PC498",0.0117232350858945
"PC499",0.0116552786350524
"PC500",0.0115419674832829
"PC501",0.0115135265692796
"PC502",0.0114104450485993
"PC503",0.0113082797005776
"PC504",0.0112223797996663
"PC505",0.0111493361853392
"PC506",0.0111179720219606
"PC507",0.0110488542880723
"PC508",0.0110140251977501
"PC509",0.0109672208919497
"PC510",0.0108980694074356
"PC511",0.0107716530035176
"PC512",0.0107094366076683
"PC513",0.0106582942407263
"PC514",0.0105677146083517
"PC515",0.0104846509208667
"PC516",0.0104442591598489
"PC517",0.0103844743271967
"PC518",0.0103162081212496
"PC519",0.0102572967855966
"PC520",0.0100796482068925
"PC521",0.0100364604979036
"PC522",0.0100030289714028
"PC523",0.00997484847396726
"PC524",0.00985178332923826
"PC525",0.00981672304369147
"PC526",0.00976369595364191
"PC527",0.0096407859548262
"PC528",0.009564378033428
"PC529",0.0095021092959484
"PC530",0.00943845496722292
"PC531",0.00942900727575459
"PC532",0.00937888014384288
"PC533",0.00927962969616656
"PC534",0.00924800717347302
"PC535",0.0092056002894908
"PC536",0.00917228687336459
"PC537",0.00914075910302971
"PC538",0.00906702963817083
"PC539",0.0089426195440098
"PC540",0.00890211326951251
"PC541",0.008841532434407
"PC542",0.00882462053052981
"PC543",0.00877473160321605
"PC544",0.00873805488168903
"PC545",0.00862765590980252
"PC546",0.00855910571866222
"PC547",0.00849093936136068
"PC548",0.00843571913074287
"PC549",0.0083815183388664
"PC550",0.00831781811914991
"PC551",0.00826023941977724
"PC552",0.00819896009951011
"PC553",0.00814460743941432
"PC554",0.00811282026454037
"PC555",0.00806284459085507
"PC556",0.00802306758434992
"PC557",0.00801699624698202
"PC558",0.00794182818065495
"PC559",0.00790591531768599
"PC560",0.00785603547854657
"PC561",0.00776337582280422
"PC562",0.00770878298171709
"PC563",0.00764956988352236
"PC564",0.00764207289431752
"PC565",0.00760223675813427
"PC566",0.00752310827857741
"PC567",0.00747607578062205
"PC568",0.00742688728662724
"PC569",0.00737101391735365
"PC570",0.00728207042112463
"PC571",0.00725664303245218
"PC572",0.00719842895132876
"PC573",0.00716478915786544
"PC574",0.00710363200988199
"PC575",0.0070611736801223
"PC576",0.00704052147019503
"PC577",0.00697315657175947
"PC578",0.00691753162876075
"PC579",0.00684742304730599
"PC580",0.00679978194092577
"PC581",0.00676949769489792
"PC582",0.00672749645087718
"PC583",0.00667713369802011
"PC584",0.00661422401337981
"PC585",0.00658059762566925
"PC586",0.00653939109130932
"PC587",0.00647672643084092
"PC588",0.00645752794292401
"PC589",0.00642785115313475
"PC590",0.00636819840297519
"PC591",0.00636039020030744
"PC592",0.00632394251746324
"PC593",0.00629101751049809
"PC594",0.00625771513273148
"PC595",0.00619981967539272
"PC596",0.00613817702348046
"PC597",0.00608333125188899
"PC598",0.00604875138498863
"PC599",0.00597454323357972
"PC600",0.00595417356573291
"PC601",0.00588374612521776
"PC602",0.00582258174223135
"PC603",0.00579715957247816
"PC604",0.00574180721801232
"PC605",0.00572956735631922
"PC606",0.00566199534557672
"PC607",0.00564037664458218
"PC608",0.00558885314097196
"PC609",0.00557141514481451
"PC610",0.00551896448500491
"PC611",0.00549339631883136
"PC612",0.00543668351075522
"PC613",0.00541127699949396
"PC614",0.00535648173843254
"PC615",0.00533733774453502
"PC616",0.00528041503466635
"PC617",0.00527049173401688
"PC618",0.00520007598104554
