"PC","Variance_Explained_Percent"
228,0.0183699494733615
229,0.0179959513010388
230,0.0179072140063955
231,0.0176090015860797
232,0.0174895078804634
233,0.0172355810408485
234,0.0171481893785911
235,0.016925954890969
236,0.0166852701375177
237,0.0166667074848774
238,0.0163719778290177
239,0.016257135905737
240,0.0160114096671662
241,0.0159173734033112
242,0.0156635592844428
243,0.0155712781850523
244,0.015281470092856
245,0.015141678341192
246,0.0148033530010745
247,0.0147303042834796
248,0.0145083167511081
249,0.0144633628988279
250,0.0144488326404362
251,0.0141804582484569
252,0.0139431627372335
253,0.0138245135722933
254,0.0137406265100687
255,0.0135187512393015
256,0.0134775166633759
257,0.0131068059619332
258,0.0130006696633148
259,0.0129842367363353
260,0.0127390933025695
261,0.0125515006009606
262,0.0124497722982899
263,0.0123848259614512
264,0.0123156991678
265,0.0121464680303415
266,0.0120862330849443
267,0.0118726799939657
268,0.0115613610574005
269,0.0114158765808734
270,0.0113473338442106
271,0.0111458948692386
272,0.0109705436452056
273,0.0109118000413527
274,0.0107838778598203
275,0.010710233610377
276,0.0106767524280942
277,0.0105970061273308
278,0.0102432334324706
279,0.0101731948563882
280,0.0100690775149948
281,0.0100523145363823
282,0.00974438591832855
283,0.00966726459824022
284,0.00958029773599048
285,0.0095634874189442
286,0.00949455870744609
287,0.00942472264366877
288,0.00937289507884393
289,0.00917008564178281
290,0.00907356966582428
291,0.00904531480457472
292,0.00882921500887398
293,0.00882210311161782
294,0.0087024781620456
295,0.00858085400982034
296,0.00848349301468488
297,0.00833789672652699
298,0.00829442081938715
299,0.00817606791289344
300,0.00808693179061414
301,0.00792443560032689
302,0.0078775812246689
303,0.00776613180234735
304,0.00772537014098932
305,0.0075944692759693
306,0.00756102444718534
307,0.00745269134415847
308,0.00736466318753812
309,0.00727434838607794
310,0.00719177415290869
311,0.00705575651351408
312,0.00696129464956954
313,0.00689911301758581
314,0.00684618128732039
315,0.00677635226072068
316,0.00670072496264624
317,0.00656517327908745
318,0.00646946546502906
319,0.00632094810759735
320,0.00625323497976184
