"Protein","t","UniProt","ENTREZID"
"OID20667",-3.63869884804306,"Q15517","1041"
"OID20556",-3.66571412704432,"Q9UHC6","26047"
"OID20566",-3.68935021764703,"O76036","9437"
"OID21467",-3.69230303777457,"P35318","133"
"OID21009",-3.69909337803067,"Q08345","780"
"OID20629",-3.70515120493121,"Q12918","3820"
"OID20743",-3.7070190616462,"P16422","4072"
"OID20691",-3.7344595767938,"P25116","2149"
"OID21406",-3.7464636532625,"P47929","3963"
"OID20202",-3.77449029585196,"Q9UK05","2658"
"OID21342",-3.7754203052328,"P29317","1969"
"OID20598",-3.8020800339255,"P28827","5797"
"OID20661",-3.80367020116137,"P49771","2323"
"OID20636",-3.81026887362819,"Q9BXN2","64581"
"OID20481",-3.81876604063803,"Q8TAD2","53342"
"OID20984",-3.82955340118134,"Q8N474","6422"
"OID21408",-3.82969186555791,"O14558","126393"
"OID20110",-3.83803496794302,"P40818","9101"
"OID21005",-3.8395198325998,"P55291","1013"
"OID20196",-3.84285636064276,"P21583","4254"
"OID20375",-3.84596470309304,"Q96H15","91937"
"OID21074",-3.86372689418962,"Q15818","4884"
"OID20768",-3.86672786952175,"P36941","4055"
"OID21365",-3.8775788360234,"P50120","5948"
"OID21478",-3.88113271722818,"P21802","2263"
"OID20646",-3.88795688080976,"Q9Y6Q6","8792"
"OID20783",-3.89245965518582,"Q92956","8764"
"OID21275",-3.89729363090039,"Q8TE58","170689"
"OID21265",-3.90035103866158,"P10747","940"
"OID20609",-3.91586571233019,"Q8WXI8","338339"
"OID20297",-3.91668341470393,"Q14162","8578"
"OID20391",-3.93756884249726,"P12318","2212"
"OID21050",-3.94642091055303,"P04216","7070"
"OID21388",-3.96221657668416,"P01303","4852"
"OID20462",-3.96431043657763,"Q9Y3P8","27240"
"OID21089",-3.96615577516808,"Q96F46","23765"
"OID20917",-3.97156592822286,"Q8NBI3","374946"
"OID21339",-3.97491345371112,"Q96I82","81621"
"OID20185",-3.97931612106865,"Q86VZ4","84918"
"OID21266",-4.00937123057682,"O60760","27306"
"OID21120",-4.01474704809631,"Q5T2D2","79865"
"OID20938",-4.02880585604022,"Q2MKA7","284654"
"OID20954",-4.03041454807336,"P48740","5648"
"OID21450",-4.0318849490206,"Q6UWN8","404203"
"OID20226",-4.0803833167319,"Q76M96","151887"
"OID20713",-4.08518395920481,"Q7KYR7","11120"
"OID20569",-4.10347341669241,"Q9NRJ3","56477"
"OID21444",-4.12455517582469,"O95388","8840"
"OID20315",-4.14304051009773,"P05107","3689"
"OID21158",-4.14847665643129,"P22692","3487"
"OID20415",-4.15104730238569,"P05451","5967"
"OID20763",-4.15802221656461,"Q16651","5652"
"OID21069",-4.18651688852221,"P01215","1081"
"OID21505",-4.18871283555539,"Q14508","10406"
"OID20152",-4.20125586229254,"Q99674","10669"
"OID20158",-4.20956934108993,"Q9UHD0","29949"
"OID21482",-4.23048852995828,"Q9NP84","51330"
"OID21289",-4.24293291780296,"Q6UXD5","26470"
"OID20626",-4.24376731072008,"P35613","682"
"OID21139",-4.24486826823183,"P08648","3678"
"OID21108",-4.24944833171238,"Q6YHK3","135228"
"OID20720",-4.25153684429497,"O43291","10653"
"OID21462",-4.2524281595243,"Q8WWY7","128488"
"OID20498",-4.27172380296278,"Q13261","3601"
"OID21472",-4.27258746352347,"P20138","945"
"OID21104",-4.2873481361052,"P35442","7058"
"OID21006",-4.28764482386469,"O94779","53942"
"OID21025",-4.31968766261698,"P28906","947"
"OID21318",-4.34072080133271,"Q49AH0","441549"
"OID20064",-4.34273980179375,"P36952","5268"
"OID21142",-4.34430524018694,"Q969Z4","84957"
"OID20377",-4.35204220152651,"P08174","1604"
"OID20568",-4.37001974945235,"P23582","4880"
"OID20212",-4.37778039266657,"Q9BQR3","83886"
"OID20680",-4.37786653560281,"Q5ZPR3","80381"
"OID20769",-4.40494973643515,"Q16363","3910"
"OID21262",-4.41109235705962,"Q96PQ0","57537"
"OID21422",-4.41232784295141,"Q96D42","26762"
"OID20734",-4.4175996724262,"Q9Y6N7","6091"
"OID20525",-4.42777165198781,"Q9UNE0","10913"
"OID20580",-4.4348857256275,"O60449","4065"
"OID20188",-4.45850251722634,"P06858","4023"
"OID21058",-4.47033497143426,"Q6ZMJ2","286133"
"OID21267",-4.47776284464619,"Q13145","25805"
"OID20688",-4.47940665841679,"P11684","7356"
"OID20360",-4.49187552818831,"Q86VB7","9332"
"OID21116",-4.49260633757048,"P14778","3554"
"OID20335",-4.49682140316631,"P02452","1277"
"OID21045",-4.49733054526556,"Q6NW40","285704"
"OID21344",-4.51037909983785,"O43570","771"
"OID20730",-4.51723671813497,"Q9H3U7","64094"
"OID20678",-4.52066626499859,"P15260","3459"
"OID20102",-4.52744445473649,"P31997","1088"
"OID20371",-4.5333673275873,"Q07654","7033"
"OID21490",-4.53703201351686,"Q96NY8","81607"
"OID20370",-4.57472325313938,"P10721","3815"
"OID20134",-4.5781026129001,"Q12864","1015"
"OID20079",-4.58780577909265,"P62736","59"
"OID21122",-4.59845683766281,"Q8TCZ2","83692"
"OID20103",-4.60182607309896,"P25815","6286"
"OID20236",-4.60472155556648,"Q16270","3490"
"OID20662",-4.63095742637358,"O43915","2277"
"OID20270",-4.63717398754972,"Q96AP7","90952"
"OID20947",-4.64452366514418,"Q9H3S3","80975"
"OID21526",-4.6503365493497,"Q92876","5653"
"OID20493",-4.68484848519217,"P18564","3694"
"OID20220",-4.68852923586237,"P01241","2688"
"OID20214",-4.69259693565883,"P35247","6441"
"OID20438",-4.69382138683592,"Q6UXK5","57633"
"OID20223",-4.6944236163694,"Q6WN34","25884"
"OID21133",-4.70874011675214,"P06734","2208"
"OID20624",-4.71149046881674,"O43508","8742"
"OID20262",-4.7217177981271,"Q9NNX6","30835"
"OID20392",-4.73713127311129,"P80188","3934"
"OID21449",-4.74751033220078,"P06127","921"
"OID20686",-4.74929320566612,"O00585","6366"
"OID21343",-4.75437334239758,"Q9BSG5","83546"
"OID21493",-4.75556822418844,"P37173","7048"
"OID20408",-4.76274303055806,"P41222","5730"
"OID20231",-4.77891958216468,"P07204","7056"
"OID20320",-4.78791357097615,"Q16769","25797"
"OID20273",-4.79428882232677,"Q13740","214"
"OID20642",-4.79771460242237,"Q15661","7177"
"OID21353",-4.82630997222269,"Q99717","4090"
"OID21370",-4.82790107978317,"Q86SJ2","347902"
"OID20259",-4.83466043626685,"P55808","7499"
"OID20332",-4.8383142897742,"P39060","80781"
"OID20353",-4.83870788885727,"P12830","999"
"OID20490",-4.8542162564003,"P12034","2250"
"OID21090",-4.86768472061645,"Q86T13","161198"
"OID20748",-4.88884514246413,"P56470","3960"
"OID21113",-4.89344350051089,"Q14126","1829"
"OID20087",-4.89774503234274,"P09237","4316"
"OID20677",-4.9271278476225,"P21709","2041"
"OID21507",-4.93667426953613,"Q14512","9982"
"OID21368",-4.96101855035174,"O00622","3491"
"OID20909",-4.97589577195771,"P36269","2687"
"OID20208",-4.98379016084157,"P02462","1282"
"OID21146",-4.98876592780659,"P11717","3482"
"OID21469",-5.01096821451985,"Q8TDQ1","146722"
"OID21095",-5.01836649067545,"O15394","4685"
"OID20175",-5.02436044788424,"Q9UBU3","51738"
"OID20155",-5.04621134820943,"Q8WX77","347252"
"OID21258",-5.06715187552943,"Q8IUK5","57125"
"OID20919",-5.06876387280459,"Q9BZM5","80328"
"OID20757",-5.07662594790445,"P27930","7850"
"OID21098",-5.1054551912842,"Q9UGT4","56241"
"OID21396",-5.13039997705631,"Q15116","5133"
"OID20974",-5.13222005662944,"O60242","577"
"OID21518",-5.14047753123492,"Q9UBX7","11012"
"OID20287",-5.16300733039203,"P17813","2022"
"OID20389",-5.17004060374388,"Q16853","8639"
"OID20738",-5.17120854370976,"Q5KU26","81035"
"OID21038",-5.22225406467165,"P05060","1114"
"OID20565",-5.23244050251592,"Q01151","9308"
"OID21486",-5.26703621422589,"P41271","4681"
"OID21484",-5.27690758239557,"P32004","3897"
"OID20366",-5.28481246825281,"O00533","10752"
"OID21101",-5.31452790153629,"Q02747","2980"
"OID20161",-5.36907092015606,"Q06418","7301"
"OID20999",-5.37010232052286,"P37023","94"
"OID20649",-5.38767064795264,"P30203","923"
"OID21531",-5.40436229901904,"Q16674","8190"
"OID20136",-5.40548089987011,"Q16620","4915"
"OID21321",-5.42372033725124,"Q7Z5A7","25817"
"OID20233",-5.42890511125724,"Q92520","10447"
"OID21451",-5.45166158676271,"Q9HAV5","60401"
"OID20205",-5.46205605893314,"Q9NQX5","56654"
"OID20512",-5.48824538534575,"P30838","218"
"OID20268",-5.49149870497418,"P09619","5159"
"OID21065",-5.51382550933122,"Q96B86","56963"
"OID20807",-5.52672195208912,"P45452","4322"
"OID20970",-5.58108704309355,"Q6UX15","143903"
"OID20928",-5.58688898320298,"Q8IUN9","10462"
"OID20300",-5.58698715389221,"Q9Y4L1","10525"
"OID21411",-5.62560851847717,"Q9GZV9","8074"
"OID21463",-5.63325841568532,"O15123","285"
"OID21110",-5.65364703963001,"P14209","4267"
"OID21330",-5.73586991237783,"O00451","2675"
"OID20276",-5.77421816928443,"P07858","1508"
"OID20784",-5.79948258089225,"Q9BYZ8","83998"
"OID20600",-5.8292780057473,"P01135","7039"
"OID21446",-5.84129220489116,"Q9NS68","55504"
"OID21520",-5.86849340251866,"P04626","2064"
"OID21351",-5.88538329805782,"O75144","23308"
"OID21094",-5.93836950864672,"Q96FE7","113791"
"OID20361",-5.94770072888706,"Q14515","8404"
"OID21126",-5.97112288341666,"Q9NPH3","3556"
"OID21032",-5.97914868770205,"Q8NBJ7","25870"
"OID21384",-6.00725028367607,"Q16653","4340"
"OID21072",-6.02403833560993,"P02749","350"
"OID20380",-6.04082602348119,"P15529","4179"
"OID21412",-6.05019987648683,"O43827","10218"
"OID20414",-6.06028533376678,"Q12805","2202"
"OID20295",-6.06231082608928,"P80370","8788"
"OID20745",-6.10447894154482,"Q92583","6361"
"OID21008",-6.10987101569559,"P22223","1001"
"OID20307",-6.12369443398093,"Q12860","1272"
"OID20200",-6.12399143339667,"P12104","2169"
"OID20912",-6.15173786294771,"Q92932","5799"
"OID21057",-6.1562016767798,"Q16288","4916"
"OID21123",-6.18877382062777,"P20774","4969"
"OID20129",-6.1985372111826,"P01222","7252"
"OID20393",-6.20384513546524,"P20023","1380"
"OID21499",-6.20897247691285,"P06870","3816"
"OID21328",-6.21335888928708,"Q8IX05","9936"
"OID20951",-6.21553243912832,"Q8NFP4","266727"
"OID21378",-6.23148662083148,"Q8WXI7","94025"
"OID20316",-6.23773029116734,"P25445","355"
"OID20647",-6.25532913077991,"O95971","11126"
"OID20257",-6.27449769776181,"Q5VY43","375033"
"OID21372",-6.30719437178064,"P58499","54097"
"OID20651",-6.33177213123595,"O75077","8745"
"OID20363",-6.34128502701485,"P30530","558"
"OID21391",-6.36688975594688,"Q9Y5K2","9622"
"OID20189",-6.37382971084769,"Q8IZP9","10149"
"OID21274",-6.39516013575305,"P08069","3480"
"OID21349",-6.43615013402933,"Q8N9I9","196403"
"OID21483",-6.45580036053237,"P29017","911"
"OID20581",-6.49608786168923,"Q9UKX5","22801"
"OID20081",-6.50401571494271,"O43854","10085"
"OID21364",-6.51633250009418,"P98073","5651"
"OID21001",-6.52822879066226,"Q9P0K1","53616"
"OID21291",-6.52845640337795,"Q9UKR3","26085"
"OID21419",-6.5338110480709,"Q9H6B4","79827"
"OID20292",-6.55478753542385,"P12111","1293"
"OID21136",-6.59187192777301,"P16871","3575"
"OID21443",-6.60810795338098,"Q2VWP7","283659"
"OID20696",-6.63499634645194,"Q08334","3588"
"OID20330",-6.67803683875475,"Q12884","2191"
"OID21154",-6.68592325578122,"P04155","7031"
"OID20238",-6.77116402722551,"P55058","5360"
"OID20716",-6.77498664366647,"P19256","965"
"OID20573",-6.7920973519528,"Q9UMR7","50856"
"OID20401",-6.87687034106669,"Q16627","6358"
"OID20049",-6.91149481655409,"P16860","4879"
"OID21130",-6.91581228307882,"Q6UXG3","146894"
"OID21460",-6.93015039679083,"P32926","1830"
"OID21064",-6.95281237235602,"P57087","58494"
"OID20243",-6.95999694935435,"P33151","1003"
"OID21007",-6.97622877331884,"Q9HCK4","6092"
"OID21052",-6.98740739075159,"O75509","27242"
"OID20109",-7.06830909308609,"Q13444","8751"
"OID21393",-7.11893297490259,"P26010","3695"
"OID20550",-7.1945725988196,"P20849","1297"
"OID21284",-7.26305995378959,"Q86WD7","327657"
"OID20275",-7.27477632688775,"P08118","4477"
"OID20383",-7.27498579969711,"P98160","3339"
"OID20787",-7.28439623932933,"Q03403","7032"
"OID20345",-7.29840484161876,"Q6EMK4","114990"
"OID20390",-7.3640005146002,"O14786","8829"
"OID20916",-7.39324031827548,"P11464","5669"
"OID21298",-7.50729063486826,"Q9UJ71","50489"
"OID20933",-7.50999125463663,"O60609","2676"
"OID20299",-7.51617467769149,"P48745","4856"
"OID21054",-7.53473791407719,"P14384","1368"
"OID20376",-7.58571385299735,"P05556","3688"
"OID21416",-7.59881747905576,"P06756","3685"
"OID20368",-7.64953913682972,"P35443","7060"
"OID20306",-7.72487790462016,"Q13332","5802"
"OID20759",-7.76756313164114,"Q9HCB6","10418"
"OID21517",-7.78625020020305,"O60259","11202"
"OID21439",-7.96302931737763,"P39900","4321"
"OID20384",-8.04152989250404,"Q15113","5118"
"OID20145",-8.06709644984207,"Q9UMF0","7087"
"OID21117",-8.0808427316484,"Q8IWV2","152330"
"OID21458",-8.15903328589692,"P62166","23413"
"OID20255",-8.19065443371906,"Q03167","7049"
"OID20173",-8.2127605660059,"Q14956","10457"
"OID20343",-8.25769875245774,"P43121","4162"
"OID20772",-8.2607624901256,"O00175","6369"
"OID20653",-8.28528515183678,"P43489","7293"
"OID20746",-8.37101850505051,"Q96KG7","84466"
"OID20994",-8.52335376779355,"P12644","652"
"OID20334",-8.54701051352504,"O15467","6360"
"OID20126",-8.63302936165,"Q05315","1178"
"OID20946",-8.69786012907057,"O43155","23768"
"OID20985",-8.74594731553072,"Q07011","3604"
"OID20239",-8.75438977070456,"Q13361","8076"
"OID20397",-8.8629087059826,"Q9NPY3","22918"
"OID20157",-8.89234806438759,"P55285","1004"
"OID20265",-9.21393415330327,"O14798","8794"
"OID20664",-9.40173943151263,"Q9H4D0","64084"
"OID21107",-9.55961565114896,"P22105","7148"
"OID21079",-9.86290148331041,"Q02487","1824"
"OID21048",-9.99407018246112,"Q96GP6","91179"
"OID20405",-10.5504681525752,"P49747","1311"
"OID20116",-10.8593968856439,"Q9BWV1","91653"
"OID20279",-11.0450249759854,"Q9NQ79","55118"
"OID20224",-11.701736973759,"Q01973","4919"
"OID20754",-12.216602328919,"Q4KMG0","50937"
