"Protein","t","UniProt","ENTREZID"
"OID20601",2.98906686827276,"Q01344","3568"
"OID20617",2.97720691628496,"Q07065","10970"
"OID21049",2.96806894878695,"P28908","943"
"OID20890",2.95565832429244,"Q92917","27238"
"OID20902",2.95420888369909,"P63098","5534"
"OID21193",2.94695354773499,"Q6BAA4","127943"
"OID20732",2.94661590530307,"Q8WU39","51237"
"OID21156",2.9345376200865,"P04118","1208"
"OID21519",2.93001754167477,"P26447","6275"
"OID20517",2.91916258064696,"P55957","637"
"OID20684",2.89288484370079,"P35625","7078"
"OID20780",2.81440354769888,"P15291","2683"
"OID21452",2.80967620327353,"P09960","4048"
"OID20216",2.80541368605233,"P31431","6385"
"OID20575",2.80505771712092,"P28845","3290"
"OID20166",2.80354773136752,"P08263","2938"
"OID20791",2.80165659732351,"P53539","2354"
"OID21504",2.79018840456474,"P78552","3597"
"OID20149",2.77399212010553,"Q6GTS8","148811"
"OID20986",2.77349193520989,"Q9H477","64080"
"OID21047",2.76310152814936,"P01178","5020"
"OID20615",2.75900571650547,"P37235","3241"
"OID20585",2.75562637237923,"Q9NRM6","55540"
"OID20071",2.74920925622198,"O95183","10791"
"OID20911",2.74901615322299,"P05231","3569"
"OID20412",2.73993474428607,"P13501","6352"
"OID20445",2.72830726113994,"Q8TCS8","87178"
"OID20092",2.71589753942914,"Q99549","54737"
"OID21381",2.71521830195754,"Q7Z5L0","284013"
"OID20442",2.6988710039952,"O60934","4683"
"OID20546",2.69866813082956,"Q9Y258","10344"
"OID20589",2.69449932676626,"O94992","10614"
"OID20139",2.693170185324,"P21549","189"
"OID21231",2.6732261252624,"Q9Y223","10020"
"OID21283",2.65552399003306,"P61218","5435"
"OID20119",2.65008773268757,"P34913","2053"
"OID20741",2.63879332805132,"P01127","5155"
"OID20333",2.63286405491563,"P04746","279"
"OID20606",2.62783679200149,"P42702","3977"
"OID20762",2.57743996085103,"P09341","2919"
"OID21282",2.56348561668936,"Q9BYE9","54825"
"OID21178",2.53294793090492,"O75787","10159"
"OID21216",2.51213303443333,"Q3B7J2","81577"
"OID20612",2.51052622783661,"O15455","7098"
"OID21359",2.49816630334902,"Q7Z5R6","54518"
"OID20372",2.49602232704857,"P08709","2155"
"OID21024",2.48727497943114,"O43927","10563"
"OID20704",2.47279963217593,"O76096","8530"
"OID21053",2.45282224047691,"Q9BRF8","55313"
"OID20285",2.44332136199896,"Q9H1U4","1955"
"OID20272",2.43435469899214,"Q9Y275","10673"
"OID20810",2.42949365173997,"P08758","308"
"OID21003",2.42541720259236,"Q9BS40","56925"
"OID21233",2.41676428477177,"Q06787","2332"
"OID20788",2.41112915808289,"P19876","2921"
"OID20240",2.40143635456913,"P01130","3949"
"OID20067",2.39919449020238,"Q96N03","128434"
"OID20098",2.38580332749891,"P40225","7066"
"OID21115",2.35169910343019,"Q9UKK9","11164"
"OID20540",2.34733212807643,"P78410","11118"
"OID20230",2.34441930507197,"P04792","3315"
"OID21206",2.33943929811468,"Q7L5Y9","10296"
"OID20749",2.33633138374775,"Q9H008","64077"
"OID20228",2.32873158834691,"P07711","1514"
