"Protein","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","Significant"
"OID21463",-0.542397346398769,5.36873864229765,-4.37886767179517,1.55462473091176e-05,0.000101906364241876,2.21592291726498,"Down",TRUE
"OID21154",-0.71618780282048,2.28006892950392,-4.37692130711355,1.56787488869713e-05,0.000102305626299004,2.20785744199671,"Down",TRUE
"OID20745",-0.666817298381202,4.64194360313316,-4.37524197786787,1.57939396736384e-05,0.000102588817243769,2.20090112200679,"Down",TRUE
"OID20292",-0.639273413945819,5.56261618798956,-4.36061126406555,1.68323625954671e-05,0.000107862987214899,2.14039780506273,"Down",TRUE
"OID20295",-0.555465133307495,4.16732349869452,-4.34633793296436,1.79081674911691e-05,0.000114244514932503,2.08154850192227,"Down",TRUE
"OID21328",-0.514606806215204,3.64637206266319,-4.2516615333195,2.68962675713864e-05,0.000162172009955743,1.69561111054679,"Down",TRUE
"OID21372",-0.518682014866106,2.18479399477807,-4.18457715778347,3.57209178591104e-05,0.000209201605002741,1.42681379385409,"Down",TRUE
"OID21123",-0.600945463505892,2.65273289817232,-3.8658198675624,0.000130738111552618,0.000655525478626984,0.203036428690301,"Down",TRUE
"OID21411",-0.930343015374826,3.13947467362924,-3.77210157804439,0.000188402154726204,0.000913996349714106,-0.139797751803759,"Down",TRUE
"OID20512",-0.571525822190333,0.371884856396867,-3.7611443267812,0.000196530574761037,0.000945596603816574,-0.179372861185062,"Down",TRUE
"OID21391",-0.640434868015539,4.15744595300261,-3.72771515111284,0.000223421945826625,0.00105718529995446,-0.299452431864906,"Down",TRUE
"OID21446",-0.511875188085648,4.48751644908616,-3.71571592883569,0.000233893489838766,0.00109945327953815,-0.342311959043366,"Down",TRUE
"OID20200",-0.735745411232898,3.13081618798956,-3.67848633709236,0.000269403276776664,0.00123390154651876,-0.474474491924289,"Down",TRUE
"OID20220",-0.932187947920852,4.42864960835509,-3.63658932361395,0.000315411601765225,0.00140850993413283,-0.621726813365889,"Down",TRUE
"OID20214",-0.570970639364289,3.42270391644909,-3.48767313512415,0.000545826627443817,0.00225429552201507,-1.13237583360621,"Down",TRUE
"OID20593",-0.614623094896437,2.66498929503916,-2.68385038261804,0.00760474897475677,0.0217779284267083,-3.53923960412762,"Down",TRUE
"OID21069",-0.525644580763875,3.31196318537859,-2.38088728032617,0.0177760761406171,0.0434222441110116,-4.29016047790826,"Down",TRUE
