"Protein","logFC_Unadjusted","adj.P.Val_Unadjusted","Regulation_Unadjusted","Significant_Unadjusted","logFC_Adjusted","adj.P.Val_Adjusted","Regulation_Adjusted","Significant_Adjusted","Status","Direction_Consistent","Direction_Change","logFC_Change"
"OID20117",0.62857511979823,0.000917222758090847,"Up",TRUE,0.549830310771062,0.011251449468684,"Up",TRUE,"Significant_Both",TRUE,FALSE,-0.0787448090271683
"OID20118",0.190412795292139,0.00392782003619422,"NS",FALSE,0.234368658795069,0.00119034393810668,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0439558635029296
"OID20119",0.171471849516603,0.0190959295866573,"NS",FALSE,0.176450148952151,0.0397107573151513,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0049782994355487
"OID20120",0.0105834047919295,0.737903517621338,"NS",FALSE,0.0248829351539904,0.468524419158521,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0142995303620609
"OID20121",0.0515297898276601,0.716540580787589,"NS",FALSE,0.217072706105492,0.0745486899552351,"NS",FALSE,"NS_Both",TRUE,FALSE,0.165542916277832
"OID20122",0.235586473308112,0.258132648564033,"NS",FALSE,0.363181382527703,0.110835640641465,"NS",FALSE,"NS_Both",TRUE,FALSE,0.127594909219591
"OID20123",-0.0458316687683897,0.412792485108445,"NS",FALSE,-0.0183267910339692,0.812072032919497,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0275048777344205
"OID20124",-0.0229121899957968,0.732354515564192,"NS",FALSE,-0.0229076311905802,0.783501128736541,"NS",FALSE,"NS_Both",TRUE,FALSE,4.55880521664162e-06
"OID20125",-1.91150527112231,8.97387590545763e-11,"Down",TRUE,-1.18908749755758,3.39432956633046e-06,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.722417773564734
"OID20126",-0.723633972257247,5.07575049564966e-15,"Down",TRUE,-0.617668358660895,1.40909574867478e-10,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.105965613596352
"OID20127",0.0559164480874293,0.863947210516133,"NS",FALSE,0.0449818582658695,0.911207693868232,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0109345898215598
"OID20128",-0.0636646574190837,0.275545297293115,"NS",FALSE,-0.0260700731381186,0.743429717213651,"NS",FALSE,"NS_Both",TRUE,FALSE,0.037594584280965
"OID20129",-0.67971461958806,1.40747770241324e-08,"Down",TRUE,-0.576093891583757,3.00667262163663e-05,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.103620728004303
"OID20130",0.177585292139554,0.0626350515544013,"NS",FALSE,0.222215642594191,0.0333876997077143,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0446303504546371
"OID20131",-0.0433746826397645,0.666183043331972,"NS",FALSE,0.0032915390874393,0.984999218631131,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0466662217272038
"OID20132",0.0169459310634722,0.874107086779172,"NS",FALSE,0.0159152372314442,0.900748926452727,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.00103069383202801
"OID20133",-0.13203580075662,0.180045268584047,"NS",FALSE,-0.00884929140887394,0.952087332005559,"NS",FALSE,"NS_Both",TRUE,FALSE,0.123186509347746
"OID20134",-0.373464115174441,2.92317708433851e-05,"NS",FALSE,-0.344827545736018,0.000534101944863681,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0286365694384229
"OID20135",0.0593494493484649,0.749688037211095,"NS",FALSE,0.169587281723397,0.382918140579369,"NS",FALSE,"NS_Both",TRUE,FALSE,0.110237832374932
"OID20136",-0.288014678436317,7.79925671294639e-07,"NS",FALSE,-0.289052456193882,1.14537940617946e-05,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.00103777775756581
"OID20137",0.512532728036989,0.00155956779431235,"Up",TRUE,0.431850202064591,0.0216204293280456,"NS",FALSE,"Lost_After_Adjustment",FALSE,FALSE,-0.0806825259723981
"OID20138",0.0098351113913395,0.973669673150448,"NS",FALSE,0.0808477424288209,0.764655040694112,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0710126310374814
"OID20139",0.422823270281629,0.0170254675546091,"NS",FALSE,0.378150265842129,0.0683753655608453,"NS",FALSE,"NS_Both",TRUE,FALSE,-0.0446730044395
"OID20140",0.0381505548549808,0.690881442388043,"NS",FALSE,0.0616565362637791,0.575997941290454,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0235059814087983
"OID20141",0.140975846994535,0.479076001032368,"NS",FALSE,0.292413884485232,0.158570073150572,"NS",FALSE,"NS_Both",TRUE,FALSE,0.151438037490697
"OID20142",0.313485241698192,0.00103765847354841,"NS",FALSE,0.346234303019362,0.00170655109460227,"NS",FALSE,"NS_Both",TRUE,FALSE,0.0327490613211702
"OID20143",-0.0708879907524165,0.528604404685218,"NS",FALSE,0.0676979613806198,0.561203873274605,"NS",FALSE,"NS_Both",TRUE,FALSE,0.138585952133036
"OID20144",-0.00523938629676361,0.985928465758104,"NS",FALSE,0.130168970018641,0.530784321495182,"NS",FALSE,"NS_Both",TRUE,FALSE,0.135408356315405
"OID20145",-0.622223270281628,2.31345017157008e-13,"Down",TRUE,-0.52989201141755,3.87122227992794e-09,"Down",TRUE,"Significant_Both",TRUE,FALSE,0.0923312588640786
