"Assay","Missing_N","Missing_Percent","Mean","SD","Median","Min","Max"
"OID20131",0,0,1.39565459183673,0.662727455875124,1.2896,0.0314,5.6292
"OID20118",0,0,0.696263010204082,0.466678376272489,0.6551,-0.4941,3.3127
"OID20066",0,0,0.485391836734694,0.482581593823268,0.4213,-0.7622,4.7763
"OID20053",0,0,1.29593737244898,0.795156950341797,1.2379,-0.8465,7.714
"OID20119",0,0,0.455615051020408,0.516206339814687,0.3667,-0.7528,4.0155
"OID20049",0,0,2.36317551020408,2.07525412095144,1.7615,-2.1017,10.0773
"OID20309",0,0,2.43794604591837,1.1579914284715,2.29,-0.5997,7.4678
"OID20121",0,0,3.09332755102041,0.789014388278484,3.1131,0.2504,5.519
"OID20058",0,0,0.104395663265306,0.495060576302031,0.07,-1.5575,4.4875
"OID20256",0,0,5.73436071428571,0.656374372419306,5.7699,3.7897,7.8798
"OID20147",0,0,2.73831211734694,0.460606776766445,2.6861,1.4463,4.9625
"OID20238",0,0,2.71826492346939,0.689281406354545,2.6832,0.788,5.5386
"OID20160",0,0,0.966655867346939,0.43096542925985,0.9242,-0.1844,3.6325
"OID20061",0,0,0.269949234693878,0.784418880559496,0.155,-1.7428,6.2993
"OID20151",0,0,1.8109631377551,0.880104824974502,1.6988,0.0301,6.2461
"OID20235",0,0,2.89481084183673,0.660569552459916,2.8724,0.3078,5.6852
"OID20323",0,0,4.10907193877551,0.581330916835918,4.1792,2.2238,5.7569
"OID20417",0,0,4.8917325255102,0.47491793104369,4.8517,3.4046,7.1922
"OID20305",0,0,3.11105216836735,1.25933039494104,2.9892,0.4218,8.3576
"OID20284",0,0,3.86067946428571,0.54452550699137,3.8275,2.5571,7.0365
"OID20393",0,0,2.96593380102041,0.7516391300223,2.935,0.4546,5.8534
"OID20278",0,0,4.78916211734694,0.86138711284019,4.7132,2.2355,7.7201
"OID20078",0,0,0.520005612244898,1.04285081455806,0.2335,-0.323,8.076
"OID20366",0,0,2.05624132653061,0.52199737464172,2.0196,0.5409,4.4927
"OID20052",0,0,0.445545408163265,0.439917231945153,0.4171,-0.9525,4.55
"OID20252",0,0,4.67249897959184,1.07143442868289,4.497,0.1991,9.4306
"OID20140",0,0,0.529739158163265,0.692318781622147,0.3149,-0.749,4.982
"OID20285",0,0,4.69649668367347,0.354180368563219,4.6757,3.4784,6.3177
"OID20132",0,0,1.59907385204082,0.658458980913235,1.4605,0.2022,4.8404
"OID20348",0,0,2.10184119897959,0.700915380721085,1.9954,0.1668,4.5044
"OID20209",0,0,4.55284400510204,0.594738784662557,4.5185,2.934,6.678
"OID20291",0,0,4.22126288265306,0.491313123242292,4.1842,2.2901,6.156
"OID20318",0,0,7.0765612244898,0.52540816208275,7.0793,5.6197,9.9604
"OID20156",0,0,2.24700637755102,1.07418576990234,2.1447,-0.0624,7.6504
"OID20240",0,0,3.19034923469388,0.848311299595334,3.101,0.7214,5.6072
"OID20269",0,0,4.9871,0.396325627791004,4.9693,3.366,6.7297
"OID20184",0,0,1.62744846938776,1.15452235140576,1.4476,-0.7572,6.9577
"OID20190",0,0,2.57025089285714,0.476935336735541,2.5342,1.3609,4.9253
"OID20123",0,0,0.48498125,0.375440514654321,0.4269,-0.4423,2.751
"OID20126",0,0,1.13378392857143,0.91818777975884,0.9417,-0.7454,6.0302
"OID20245",0,0,3.19986900510204,1.4002689920277,2.9799,-0.0917,8.8341
"OID20337",0,0,3.09202767857143,0.626638371344344,3.026,1.182,6.4101
"OID20226",0,0,4.53286900510204,0.965815881750588,4.4309,2.1769,10.3732
"OID20092",0,0,0.728966071428571,0.616866817717897,0.6654,-0.9275,4.0804
"OID20331",0,0,1.12871364795918,1.0948835164832,0.8427,-0.6784,6.685
"OID20214",0,0,3.77678201530612,1.24587675827209,3.7572,0.2251,9.045
"OID20316",0,0,6.27305535714286,0.73785272507788,6.1877,4.1006,8.6799
"OID20161",0,0,2.38901989795918,0.388415910562406,2.3765,1.2969,4.2892
"OID20125",0,0,2.04940790816327,2.16232567901648,1.4147,-1.3665,10.9433
"OID20087",0,0,1.50868596938776,0.865952551979923,1.3493,-0.3308,4.3648
"OID20064",0,0,0.243361734693878,0.404389807536476,0.2603,-1.0089,3.431
"OID20164",0,0,1.12962971938776,0.62154507643475,1.0904,-0.3269,3.6883
"OID20191",0,0,2.26330637755102,0.810710537297342,2.0892,0.3441,6.4692
"OID20295",0,0,4.22531823979592,1.10301274384733,4.0608,1.5519,8.5229
"OID20142",0,0,2.75730612244898,0.741695426082044,2.719,-0.5177,5.8501
"OID20236",0,0,2.20442295918367,0.689932645135317,2.0606,0.4297,6.5117
"OID20137",0,0,3.88307321428571,1.10666785521188,3.7992,0.2851,8.0146
"OID20124",0,0,0.185278954081633,0.385139539063594,0.1847,-1.2314,2.1487
"OID20242",0,0,3.93372755102041,0.750696283455223,3.7994,2.2531,6.7202
"OID20103",0,0,1.99976428571429,1.06711620287905,1.8355,-0.187,6.662
"OID20116",0,0,1.67779732142857,0.602074330560832,1.6236,-0.0032,4.3091
"OID20274",0,0,3.83195892857143,1.86678822201975,3.7702,-0.4845,8.3829
"OID20272",0,0,4.67042028061224,0.83640485904519,4.6662,2.469,7.8104
"OID20201",0,0,2.26899821428571,1.20069582968571,2.123,-0.5125,6.7313
"OID20117",0,0,2.48521173469388,1.3169198751881,2.3787,-0.8425,6.2387
"OID20093",0,0,0.274751530612245,0.340738596821953,0.2263,-0.4421,2.9019
"OID20376",0,0,2.22187448979592,0.451488566785956,2.1702,0.9669,8.1094
"OID20369",0,0,2.11751887755102,0.588810481472145,2.0548,0.0406,4.5667
"OID20079",0,0,0.261527423469388,0.905253211036812,0.0351,-1.3226,4.3279
"OID20090",0,0,3.3217112244898,1.55156536755948,2.9131,0.7809,10.9917
"OID20297",0,0,3.60271785714286,0.808915016485214,3.5382,1.225,6.831
"OID20308",0,0,5.60898520408163,0.987168317375821,5.561,1.6166,8.5367
"OID20128",0,0,0.375978316326531,0.402464980813007,0.3216,-0.694,3.1666
"OID20255",0,0,3.82523660714286,0.709547235288254,3.7135,2.1047,6.3551
"OID20332",0,0,6.32976237244898,0.711506950268902,6.2533,4.0395,8.7
"OID20249",0,0,3.98649285714286,0.421643022249871,4.01,1.8212,5.3244
"OID20073",0,0,0.603758673469388,0.361731497660586,0.5415,-0.0463,3.2331
"OID20130",0,0,1.54811109693878,0.678574295923025,1.445,-0.0926,5.4354
"OID20076",0,0,1.06788290816327,0.782508593068482,0.9016,-0.3504,8.7976
"OID20394",0,0,5.35887844387755,0.715627903881922,5.3042,3.5116,8.7234
"OID20185",0,0,2.65918698979592,0.718558430126684,2.5354,1.0986,5.4186
"OID20399",0,0,4.00130994897959,1.7367355571537,3.9435,0.1924,9.4477
"OID20248",0,0,2.8726493622449,0.47884631798188,2.8728,1.191,4.6502
"OID20192",0,0,2.97228392857143,1.79497897763813,2.8212,-0.3426,9.1127
"OID20111",0,0,2.45471568877551,0.570573554880325,2.3824,1.1776,4.7871
"OID20158",0,0,2.50166096938776,1.40842189139856,2.1301,0.229,7.978
"OID20088",0,0,0.0469860969387755,0.437761574536949,0.0041,-1.0162,2.1685
"OID20105",0,0,2.01090663265306,1.33136237415757,1.5736,-0.3049,6.9558
"OID20303",0,0,4.50835625,0.540726338068708,4.5262,2.5053,6.1694
"OID20294",0,0,2.75782295918367,0.983288761602179,2.5753,0.672,7.2963
"OID20221",0,0,4.9445737244898,1.02269107491511,4.8792,2.6007,7.6827
"OID20155",0,0,1.66566109693878,0.805196993580979,1.5363,-0.349,4.218
"OID20251",0,0,4.12514298469388,1.3729965635524,3.9799,0.8291,8.9553
"OID20336",0,0,2.74285701530612,0.631425964856561,2.7358,1.0527,8.3532
"OID20173",0,0,3.31462806122449,0.576841295091135,3.2199,1.8583,6.2382
"OID20207",0,0,4.57429017857143,1.3884600493263,4.5404,0.873,9.014
"OID20334",0,0,5.49087283163265,1.24985020260607,5.4963,1.5334,9.4873
"OID20415",0,0,5.92030969387755,1.53402434438895,5.558,3.2571,11.8627
"OID20178",0,0,4.46292704081633,1.27685287700287,4.5536,0.8418,8.4337
"OID20306",0,0,2.42088367346939,0.48032603200906,2.3703,1.2184,4.6732
"OID20367",0,0,3.45553482142857,0.637387067922033,3.3922,2.0112,8.6152
"OID20258",0,0,4.69080676020408,1.68640791896174,4.238,1.7155,10.1519
"OID20234",0,0,5.11191428571429,1.00777070562769,5.18,1.1329,8.4374
"OID20392",0,0,2.68941173469388,1.00515170233913,2.486,0.489,6.4686
"OID20397",0,0,4.14370280612245,0.714191820480793,4.0373,2.4321,7.2879
