"Patient_Timepoint","Median_Correlation","Mean_Correlation","PCA_Mahalanobis_Distance"
"164_D0",0.663915331310708,0.658919175062535,5.56381304015736
"143_D7",0.663955941508907,0.664286124369171,4.43986470217294
"15_DE",0.664268219324423,0.661742667765776,2.45973833620935
"85_D0",0.664361086895881,0.635764969472558,5.89666846037588
"172_D0",0.664817859704568,0.637428887180729,5.91968077819994
"61_D7",0.664980742684322,0.644460284886503,9.56578012828896
"253_D3",0.665020973331003,0.65833810772425,17.9429559872604
"227_D0",0.66504703307273,0.667019484219647,8.6607530118323
"10_D0",0.665210003450293,0.656589941487873,4.66035277956054
"346_D3",0.665210766606359,0.659729512129591,7.72739516842865
"354_D7",0.665444719754905,0.662643606236583,2.141141860836
"102_D3",0.665762033445028,0.661341579745845,5.80312001544289
"121_D7",0.665985584839387,0.652596252223528,9.90865947775774
"36_D7",0.666417694229666,0.661533125664653,8.54873454862726
"66_D0",0.666787832697159,0.664878812226232,6.87580055879981
"349_D3",0.66705719005682,0.666405704869113,2.47693034392595
"165_D3",0.667107006556936,0.655117851357178,2.07802720136429
"217_D3",0.667156572389277,0.638681853099963,6.80224093928104
"301_D0",0.667569248949057,0.638062950815106,5.83334838463503
"247_D0",0.6680720884527,0.663219872296984,5.74552294653018
"17_D3",0.668259617501782,0.668623945274212,3.58192858165551
"359_D0",0.668343502069557,0.661735572832459,4.46345939157908
"333_D7",0.668442155956163,0.666767268449694,3.81547654951418
"275_D0",0.66850280019918,0.652779452215673,4.56827045706666
"226_D0",0.668874957466392,0.661206152078261,6.42735206848889
"383_D7",0.669182554073909,0.665577584313311,4.71618439252306
"259_D3",0.669502182245499,0.664098206317881,5.23240945897222
"28_D0",0.669606316126697,0.661012257553811,6.13603479779569
"184_D0",0.669922390515489,0.660840462702504,4.47318041274093
"328_D3",0.67001320822708,0.656241622165563,4.0871505533017
"65_D0",0.670143890196454,0.665613353567631,4.36151742585484
"371_D0",0.670457899155845,0.664832062265006,15.7029581837123
"267_DE",0.671303322807347,0.664067881750426,5.2619282600547
"211_D0",0.671611237873442,0.655184389970577,11.425038661871
"97_DE",0.671808332124423,0.67139290415301,7.31119458656537
"158_D3",0.673135094948758,0.669164212522524,5.98740580017984
"228_D0",0.673641543655819,0.663004712301078,2.98126707993816
"56_D0",0.673760260077211,0.642470527683959,7.12351633009307
"80_D3",0.673894992001246,0.65539683246149,8.06456269653124
"50_D7",0.674143519241571,0.661227990335738,8.07218554733555
"255_D0",0.675237268016173,0.657280605262364,11.313795248865
"23_D3",0.675293939010503,0.649727062982498,5.15202571710413
"170_D0",0.675886531918101,0.660453697353966,6.75993017920232
"182_D3",0.676025321999357,0.666530910461591,2.00335385713179
"276_D0",0.676056632982808,0.671445086169956,6.52003674945109
"103_D0",0.676172495681266,0.672217486006819,7.56084628709252
"213_D0",0.676288258906363,0.662766534065327,6.91829108344047
"1_D0",0.676320358259526,0.673112660139416,4.39688226886774
"334_D3",0.676413106794282,0.669180680600453,4.70974378635775
"364_D3",0.676514843398896,0.672445910034174,4.96799921643249
"171_D7",0.676554358545826,0.660074633121231,21.5682070932587
"125_D0",0.676560119554038,0.674492735401874,7.48553060409281
"155_DE",0.676718151590083,0.644471060378615,6.7217645549829
"356_D7",0.676900733049136,0.66746719502163,6.82981775359672
"126_D0",0.6769717796966,0.652385561843798,8.42466159372075
"61_D3",0.67732695729919,0.665966191986419,8.46178256518461
